Company name,Company Url,Lohnfertigung(True/False),Produkte_1,Produkte_2,Produkte_3,Maschinen_1,Maschinen_2,Maschinen_3,Prozess_1,Prozess_2,Prozess_3
Cohline GmbH,https://www.cohline.de,False,Rohrleitungssysteme,Schlauchleitungssysteme,Hochdruck-Wasserstoffleitungen,Biegemaschinen,Lötmaschinen,Schweißmaschinen,Biegeprozesse,Lötprozesse,Schweißprozesse
FUBA Automotive Electronics GmbH,https://www.fuba-automotive.com,False,Antennen,Steuergeräte,Carsharing-Module,Leiterplattenbestückungsmaschinen,Montagemaschinen,Testsysteme,Montagen,Leiterplattenfertigungen,Testen
Adval Tech (Germany) GmbH & Co. KG,https://www.advaltech.com,False,Komponenten,Baugruppen,Module,Pressen,Schneidemaschinen,Stanzmaschinen,Stanzen,Schneiden,Pressen
BJ Automotive GmbH,https://www.bjautomotive.de/de/,False,Schalter,Systeme,Komponenten,,,,,,
BEDIA Motorentechnik GmbH & Co. KG,http://www.bedia.com,False,Motoren,Kabel,Sensoren,Fräsmaschinen,Erodiermaschinen,Bohrungen,Fräsen,Erodieren,Bohren
Haartz GmbH,http://www.haartz.com,False,Stoffe,Textilien,Beschichtungen,,,,,,
Dr. Freist Automotive Bielefeld GmbH,https://www.dfabielefeld.de,False,Akustik-Lösungen,Hotmelt-Kleber,Isolationen,Anlagen,Stanzen,Pressen,Extrudieren,Kalandrieren,Tiefziehen
Hehnke GmbH & Co. KG,https://www.hehnke.de,True,Hybridbauteile,Kunststoffteile,Metall-Kunststoff-Verbindungen,Spritzgießmaschinen,Formenbaumaschinen,Stanzmaschinen,Spritzgießens,Formenbauten,Stanztechnologien
Mühlhoff Umformtechnik GmbH,https://www.muehlhoff.de,False,Bauteile,Komponenten,Module,Pressen,Schweißanlagen,Messmaschinen,Umformungen,Schweißungen,Oberflächenbehandlungen
Beutlhauser GmbH & Co. KG,https://beutlhauser.com,True,Drehteile,Umformungsteile,Sensorikbauteile,Fräsmaschinen,Stanzmaschinen,Drehmaschinen,Fräsen,Stanzen,Drehen
Kohl Automotive GmbH,https://www.kohl-automotive.de,False,Automobilkomponenten,Leichtbauteile,Stanzprodukte,,,,,,
Akkumulatorenfabrik Moll,https://www.moll-batterien.de/de/,False,,,,,,,,,
Haldex GmbH,https://www.haldex.com/de/,False,Bremssysteme,Luftfedersysteme,Sicherheitslösungen,,,,,,
FEUER powertrain GmbH & Co. KG,https://feuer-pt.de,False,Kurbelwellen,Spezialtechnologien,Sonderbauformen,Fräsen,Schleifen,Montagemaschinen,Fräsen,Schleifen,Montagen
Umformtechnik Radebeul GmbH,https://umformtechnik-alu.de,True,Aluminium-Schmiedeteile,Gesenkschmiedeteile,Komponenten,Spindelpressen,Jet-Heating-Erwärmungen,CAD/CAM-Systeme,Schmieden,Lösungsglühen,Warmauslagern
RaceChip Chiptuning GmbH & Co KG,https://www.racechip.de,False,Chiptuning-Module,Gaspedal-Tunings,Luftfilter,,,,,,
KAMEI GmbH & Co. KG,https://www.kamei.de,False,Dachboxen,Dachträger,Interieur-Zubehör,,,,Spritzgießverfahren,Tiefziehverfahren,Ultraschallschweißverfahren
Finova Feinschneidtechnik GmbH,https://www.mendritzki.de,True,Bandstähle,Präzisionsteile,Schneidwerkzeuge,Fräsmaschinen,Erodiermaschinen,Laserschneidmaschinen,Fräsen,Erodieren,Laserschneiden
KHT Fahrzeugteile GmbH,https://rupf-industries.com,False,Gummi-Metall-Komponenten,Fahrzeugteile,Hydrauliksysteme,Stanzmaschinen,Schweißmaschinen,Spritzgussmaschinen,Stanzen,Schweißen,Spritzgießen
Schieffer GmbH & Co. KG,https://schieffer-group.com,False,Produkte,Referenzen,Videos,Spritzgussmaschinen,Pressen,Extrusionsmaschinen,Spritzgüsse,Pressen,Extrusionen
McGard Deutschland GmbH,https://mcgard.de,False,Radsicherungen,Automobil Nachrüstungen,Maritime Diebstahlsicherungen,,,,,,
Musashi Hann. Muenden Machining GmbH & Co. KG,https://www.eu.musashi-group.com,False,Schmiedeteile,Komponenten,Baugruppen,Fräsmaschinen,Schleifmaschinen,Erodiermaschinen,Drehungen,Fräsungen,Bohrungen
Boryszew Kunststofftechnik,https://bap.boryszew.eu,False,Komponenten,Formen,Werkzeuge,Spritzgussmaschinen,Galvanikanlagen,CNC-Fräsmaschinen,Spritzgießens,Galvanisierens,Fräsens
Hörmann Automotive Gustavsburg GmbH,http://www.hoermann-gustavsburg.eu,False,,,,,,,,,
plastic concept GmbH,https://www.plastic-concept.de,False,Baugruppen,thermoplastische Teile,duroplastische Teile,Spritzgießmaschinen,Oberflächenbearbeitungsmaschinen,Montagemaschinen,Spritzgießverfahren,Oberflächenveredelungen,Montagen
Kromberg & Schubert GmbH & Co. KG,https://www.kromberg-schubert.com,False,Verdrahtungssysteme,Spezialkabel,Kunststoffkomponenten,,,,,,
Beinbauer Group,https://www.beinbauer-group.de,True,Gusskomponenten,Fahrgestellteile,Achsschenkel,Fräsmaschinen,Drehmaschinen,Schleifmaschinen,Drehungen,Fräsungen,Schleifungen
Casco Schoeller GmbH,https://cascoauto.com,False,Konnektivitätsprodukte,Elektronik,Stromquellen,,,,,,
KDK Automotive GmbH,http://www.kdkautomotive.com,False,Dekore,Innenraumverkleidungen,Funktionen & Kinematiken,,,,,,
BOA Metal Solutions GmbH,https://www.boagroup.com,False,Dehnungsfugen,Metallbalg,Metallschläuche,,,,,,
odelo GmbH,https://odelo.de,False,Leuchtsysteme,Komponenten,Technologien,,,,,,
CMC Klebetechnik GmbH,https://www.cmc.de,False,Klebebänder,technische Filme,Stanzteile,,,,,,
Jokon GmbH,https://www.jokon.de,False,Beleuchtungssysteme,Leuchten,Ersatzteile,,,,,,
FICOSA INTERNATIONAL GmbH,http://www.ficosa.de,False,Komponenten,Systeme,,,,,,,
Dichtungstechnik Wallstabe & Schneider,https://www.wallstabe-schneider.de,False,Dichtungen,O-Ringe,Profildichtungen,Spritzgießmaschinen,Vakuum-Hydraulik-Pressen,Robotertechnologien,Spritzgießens,Pressen,Automatisierungen
TR Plast GmbH,https://tr-plast.de,True,Systeme,Komponenten,Baugruppen,Spritzgussmaschinen,Montagemaschinen,Veredelungsmaschinen,Spritzgießens,Montierens,Oberflächenveredelungen
IZOBLOK GmbH,https://izoblok.pl,False,Automobilindustrie,Logistiken,HLK-Systeme,Spritzgießmaschinen,CNC-Maschinen,Thermoformmaschinen,Spritzgießverfahren,CNC-Bearbeitungen,Thermoformungen
Neuman Aluminium Fließpresswerk GmbH,https://www.neuman.at,False,Profile,Gießungen,Extrusionen,Extrusionspressen,Gießmaschinen,Bearbeitungszentren,extrudieren,gießen,bearbeiten
HEWI G. Winker GmbH & Co. KG,https://hewi-group.com,False,Verschlussschrauben,Kaltfließpressteile,Muttern,Pressen,Gewindeschneidautomaten,Spritzmaschinen,Kaltmassivumformungen,Wärmebehandlungen,Spritzgießen
Şişecam,https://www.sisecam.com.tr/de/,False,Gläser,Glasverpackungen,Glasprodukte,,,,,,
Alux-Luxar GmbH & Co. KG,https://www.alux.de,False,Fahrzeugfenster,Schienen,Straßen,,,,,,
High Precision Components Witten GmbH,https://www.hpc-automotive.de,False,Haubenbeschläge,Stützelemente,Heckklappenbeschläge,Fräsmaschinen,Prüfmaschinen,Simulationssoftwares,Designs,Prototypen,Tests
Oberaigner Automotive GmbH,https://www.oberaigner.com,True,Allradsysteme,Antriebssysteme,Lohnbearbeitungen,Fräsmaschinen,Drehmaschinen,Schleifmaschinen,Fräsen,Drehen,Schleifen
L. Schaible GmbH & Co. KG,https://www.orca-grp.de,True,Zerspanungsteile,Baugruppen,Präzisionsteile,Drehmaschinen,CNC-Fräsmaschinen,Schleifmaschinen,Drehungen,Fräsungen,Schleifungen
ALCAR DEUTSCHLAND GMBH,https://www.alcar.de,False,Alufelgen,Stahlfelgen,RDKS,,,,,,
Wethje Carbon Composites GmbH,https://www.wethje-gmbh.com,False,Bauteile,Monocoques,Karosserien,Autoklaven,RTM-Anlagen,SMC-Anlagen,Laminierungen,Härten,Injektionen
Hagl GmbH,https://www.hagl-gmbh.de,True,Konstruktionen,Reverse-Engineering,Werkzeug- und Vorrichtungsbauten,Biegemaschinen,Lasermaschinen,CNC-Maschinen,Biegen,Laserschneiden,Schweißen
J.H. Ziegler GmbH,https://www.ziegler.eu,False,Kaschierungen,Unternähmaterialien,Vliesstoffe,Nadelmaschinen,Thermobonder,Extruder,Vernadelungen,Thermobondings,Extrusionen
ETG ELASTOMER-TECHNIK GEDERN GmbH,https://www.etggmbh.com,False,Elastomeren,Kunststoffen,Mehrkomponententeilen,Spritzgießmaschinen,Fräsmaschinen,Montagemaschinen,Spritzgießens,Fräsen,Montagen
Lydall Gerhardi GmbH & Co. KG,http://www.lydall.com,False,Leistungswerkstoffe,technische Vliesstoffe,thermische akustische Lösungen,,,,,,
Bonfiglioli S.p.A.,https://www.bonfiglioli.com,False,Getriebemotoren,Elektromotoren,Frequenzumrichter,,,,,,
Schweikert GmbH,https://www.schweikert-gruppe.de,True,Werkzeuge,Press- und Stanzteile,Baugruppen,Pressen,Fräsmaschinen,CNC-Bearbeitungsmaschinen,Pressen,Laserschneiden,Fräsen
BREMSKERL REIBBELAGWERKE,https://www.bremskerl.de,False,Bremsbeläge,Scheibenbremsbeläge,Kupplungsbeläge,,,,,,
Otto Zimmermann Maschinen- und Apparatebau GmbH,https://www.otto-zimmermann.de/de/,False,Bremsscheiben,Bremsbeläge,Bremsenteile,,,,,,
FEP Fahrzeugelektrik Pirna GmbH & Co. KG,https://www.fepz.de,False,Steckverbinder,Sensoren,Schalter,Spritzgießmaschinen,Montageautomaten,Bildverarbeitungssysteme,Spritzgießens,Montagen,Oberflächenbehandlungen
RMA-TSK-Kunststoffsysteme GmbH & Co KG,https://rma-tsk.de,True,Spritzgussteile,Kunststoff-Formteile,Spritzgießwerkzeuge,Spritzgussmaschinen,2K-Fertigungsmaschinen,Werkzeugbaumaschinen,Spritzgießens,2K-Fertigungen,Werkzeugbauten
Maxion Wheels Werke GmbH,https://www.maxionwheels.com,False,Leichtfahrzeugräder,Nutzfahrzeugräder,Spezialräder,,,,,,
Elektro-Metall Export GmbH,https://www.eme-in.de,False,Aktuatoren,Sensoren,Schalter,,,,,,
Gerdes GmbH,https://www.gerdes-fenster.de/de/,False,Fenster,Türen,Schiebetüren,Spritzguss-Maschinen,Messmaschinen,Testeinrichtungen,Messens,Spritzgießens,Testens
LISI AUTOMOTIVE KKP GmbH & Co. KG,https://www.lisi-automotive.com/en/,False,Gewindeverbindungen,Geklemmte Lösungen,Sicherheitsmechanische Komponenten,,,,,,
MD Elektronik GmbH,https://www.md-elektronik.com/de/,False,Kabelkonfektionen,Elektronik-Module,Sensoriken,,,,,,
HELBAKO GmbH,https://helbako.com,True,Elektroniklösungen,Auftragsfertigungen,Lohnbestückungen,,,,,,
PMA/TOOLS AG,https://pma-tools.de,False,SensorTacks,Montageteile,Klips,,,,,,
smk systeme metall kunststoff,https://www.smk-systeme.de,False,Hybrid-Baugruppen,Aktuatoren,Schweißbaugruppen,Fräsmaschinen,Erodiermaschinen,Laserschneidmaschinen,Fräsen,Erodieren,Laserschneiden
Kokinetics GmbH,https://www.kokinetics.de,False,Sitzstrukturen,Sitzmechanismen,Sitztiefenversteller,,,,Beschichtungen,Lackierungen,KTLs
AL-KO Technology Paderborn GmbH,https://www.alko-tech.com,False,Chassisse,Aufhängungskomponenten,Nivellierungssysteme,,,,,,
Arkal Automotive GmbH,https://www.arkal-automotive.com,False,Lösungen,Komponenten,Dienstleistungen,Spritzgießmaschinen,Montagemaschinen,Prüfmaschinen,Spritzgießens,Montierens,Prüfens
Flex Automotive GmbH,https://flex.com,True,Automotive Manufacturing Solutions,Elektronische Lieferkettenlösungen,Flüssigkeitskühlungslösungen,Fräsmaschinen,Spritzgießmaschinen,Laserschneidmaschinen,Spritzgießens,Laserschneidens,Montagen
Palas GmbH,https://www.palas.de,False,Luftqualitätsmonitore,Filterprüfstände,Aerosolspektrometer,,,,,,
ELDISY GmbH,https://eldisy.de,False,Dichtungssysteme,Spritzgussteile,Verbundprofile,Spritzgussanlagen,Extrusionsanlagen,Produktionsstraßen,Spritzgießens,Extrudierens,Lackierens
Eppsteiner Apparatebau GmbH,http://www.eppsteiner-apparatebau.de,False,,,,,,,,,
KBE Elektrotechnik GmbH,https://www.kbe-elektrotechnik.com,False,Fahrzeugleitungen,Solarleitungen,Industrieleitungen,,,,,,
FKT GmbH,https://www.fkt-gmbh.com,False,Beschattungen,Cargo-Management-Systeme,Windschotts,Spritzgießmaschinen,,,Spritzgießverfahren,,
Thun Automotive GmbH,https://www.thun-automotive.de,False,Komponenten,Systeme,Dienstleistungen,,,,,,
SOGEFI HD SUSPENSIONS Germany GmbH,https://www.sogefigroup.com/de/,False,Luftansaugungen,Kühlungen,Fahrwerkskomponenten,,,,,,
ViGEM GmbH,https://vigem.de,False,Datenlogger,Wechselspeicher,Kopierstationen,,,,,,
PARAVAN GmbH,https://www.paravan.de,False,Fahrzeugumbauten,Elektrorollstühle,Lenk- und Fahrhilfen,,,,,,
Drexler Automotive GmbH,https://www.drexler-automotive.com,False,Sperrdifferenziale,Renngetriebe,Antriebswellen,,,,,,
Suroflex GmbH,https://www.suroflex.de,False,Faservliese,Verkleidungen,Isolationsmaterialien,Bindemaschinen,Formmaschinen,Verarbeitungsmaschinen,Mischungen,Formen,Verarbeitungen
FLABEG Automotive Group GmbH,https://www.flabeg.com,False,Gläser,Spiegel,Beschichtungen,Biegemaschinen,Beschichtungsanlagen,Laseranlagen,Biegen,Beschichtungen,Laserschneiden
HEPU Autoteile GmbH,https://www.hepu.de,False,Wasserpumpen,Zahnriemensätze,Steuerkettensätze,,,,,,
Schmiedetechnik Plettenberg,https://www.stplettenberg.de,False,Schmiedeteile,Komponenten,Bauteile,Hammerlinien,CNC-Anlagen,Tieflochbohreinheiten,Gesenkschmieden,Ringwalzen,Wärmebehandeln
U-Shin Deutschland GmbH,https://www.u-shin-ltd.com/en/,False,Fahrzeugausstattungen,Industrieausstattungen,Haussicherheitsausstattungen,,,,,,
AGA Zerspanungstechnik Gera GmbH,https://www.samag.de,False,,,,,,,,,
F. Hesterberg & Söhne GmbH & Co. KG,https://www.hestal.de,False,Verschlüsse,Scharniere,Rungen,,,,,,
Hermann Schnierle GmbH,https://schnierle.de,False,Sitzsysteme,Sicherheitsgurte,Rückhaltesysteme,,,,,,
Komax Testing Germany GmbH,https://www.t-s-k.de,False,Lösungen,Dienstleistungen,Produkte,,,,,,
Rollax GmbH & Co. KG,https://www.rollax.com,False,Kugellager,Bewegungssysteme,Fahrwerkskomponenten,Automaten,Prototypenbauten,Versuchslabore,Entwicklungen,Montagen,Testen
Hitachi Astemo Aftermarket Germany GmbH,http://www.hueco.com,False,Automobile,Motorräder,Aufhängungen,,,,,,
,,False,,,,,,,,,
müller co-ax ag,https://co-ax.com/de/,False,koaxiale Ventile,Cartridgeventile,Hochdruckventile,,,,,,
I.G. Bauerhin GmbH,https://www.bauerhin.com,False,Sitzheizungen,Sitzklimatisierungen,Lenkradheizungen,,,,,,
ACPS Automotive GmbH,https://www.acps-automotive.com,False,Anhängevorrichtungen,Fahrradträger,Zubehör,CNC-Biegungen,Umformungen,Zerspanungen,Laserschneidens,Schweißen,Lackierens
Steinkamp Maschinenbau,https://www.stkm.de,True,Werkzeuge,Formen,Sondermaschinen,Fräsmaschinen,Drehmaschinen,Erodiermaschinen,Fräsen,Drehen,Erodieren
Hubert Schlieckmann GmbH,https://www.schlieckmann.de,True,Automobile,Haushaltsgeräte,Bauwesen,CAD-Software,Schweißmaschinen,Oberflächenbehandlungsmaschinen,Bauten,Werkzeugherstellungen,Produktionen
cellcentric GmbH & Co. KG,https://cellcentric.net,False,Brennstoffzellensysteme,,,,,,,,
American Axle & Manufacturing,https://www.aam.com,False,Antriebsstrangtechnologien,Metallumformungstechnologien,Elektromotoren,Fräsmaschinen,Erodiermaschinen,Laserschneidmaschinen,Fräsen,Erodieren,Laserschneiden
STEMA Metalleichtbau GmbH,https://www.stema.de/de/,False,Anhänger,Planen,Zubehör,Stanzmaschinen,Exzenterpressen,Lackieranlagen,Stanzen,Pressen,Lackierarbeiten
Huber Automotive AG,https://www.huber-automotive.com,False,Steuergeräte,Batteriemanagementsysteme,Hybridantriebe,,,,,,
NAF Neunkirchener Achsenfabrik AG,https://www.nafaxles.com,False,Bogieachsen,Lenkachsen,Starrachsen,,,,,,
MSSC AHLE GmbH,https://www.ahle-federn.com,False,Mini-SPFs,Zuganschlagfedern,Miniblockfedern,,,,,,
ATERA GmbH,https://www.atera.de,False,Fahrradträger,Dachträger,Dachboxen,,,,,,
Geiger Automotive GmbH,https://www.geigerautomotive.com,False,Produkte,Lösungen,Systembauteile,,,,Spritzgießens,Fluid-Injektions-Technologien,Projektil-Injektions-Technologien
BRUSS Werk Brieselang GmbH & Co. KG,https://www.bruss.de,False,Dynamische Dichtungssysteme,Elastomerdichtungen,Abdeckmodule,,,,,,
HMT Heldener Metalltechnik GmbH & Co. KG,https://www.hmt-automotive.com,False,Bauteile,Baugruppen,Komponenten,Stanzpressen,Laserschweißanlagen,Klebeanlagen,Stanzen,Laserschweißen,Kleben
Hanwha Advanced Materials Germany GmbH,https://www.hanwha.com,False,Lösungen,Technologien,Dienstleistungen,,,,,,
KMS Gesenkschmiede GmbH,https://www.kms-solingen.de,False,Schmiedeteile,Hebel,Verschlussteile,,,,Schmieden,Bearbeitungen,Montagen
Craemer GmbH,https://www.craemer.com,False,Kunststoffpaletten,Großladungsträger,Kunststoffbehälter,Spritzgießmaschinen,Pressen,Fräsmaschinen,Spritzgießens,Pressens,Fräsens
G S T GmbH GERMAN SENSOR TECHNOLOGY,https://www.gst-sensor.com,False,Sensoren,Kabelapplikationen,Werkzeuge,Spritzgießmaschinen,Crimpmaschinen,Splicemaschinen,Spritzgießens,Crimpens,Splicens
Eisenwerk Hasenclever & Sohn GmbH,https://hasenclever.com,False,Abgaskomponenten,Gussteile,Zylinderköpfe,Gießmaschinen,Fräsmaschinen,Schleifmaschinen,Gießens,Fräsens,Schleifens
Proseat GmbH & Co. KG,https://proseat.eu,False,Formschaumteile,Trim Parts,Leichtbaukomponenten,,,,,,
allsafe GmbH & Co. KG,https://www.allsafe-group.com,False,Ladungssicherungssysteme,Sicherheitsprodukte,Befestigungslösungen,,,,,,
Nissha Advanced Technologies Europe GmbH,https://iml-specialist.com,False,Spritzgussprodukte,IML-Technologien,IMD-Technologien,Spritzgießmaschinen,Lasermaschinen,Montagesysteme,Spritzgießens,Laserschneidens,Montagen
Knott GmbH,https://www.knott.de,False,Bremsen,Trailer,Anhänger,,,,,,
Trompetter Guss GmbH & Co. KG,https://www.trompetter-guss.de,False,Gussteile,Modelle,Ausbildungsplätze,Formanlagen,Induktionsöfen,Kernschießautomaten,Gießens,Qualitätskontrollen,Oberflächenbehandlungen
Formteil- und Schraubenwerk Finsterwalde GmbH,https://www.af-fiwa.de,False,Schrauben,Verbindungstechniken,Zeichnungsteile,Fräsmaschinen,Umformmaschinen,Fließpressmaschinen,Kaltfertigungen,Umformungen,Fließpressen
Wagon Automotive Nagold GmbH,http://www.wagon-nagold.de,True,Körpermodule,Blechumformung,Oberflächenbeschichtung,Pressmaschinen,Formmaschinen,Beschichtungsmaschinen,Blechumformung,Fahrzeugkarosseriebau,Oberflächenbeschichtung
Gates GmbH,https://www.gates.com,False,Übertragungen,Riemen,Schläuche,,,,,,
MHG Fahrzeugtechnik GmbH,http://www.mhg-fahrzeugtechnik.de,False,,,,,,,,,
Gersfelder Metallwaren GmbH,https://www.gersfelder-metallwaren.de,True,Drehteile,Rohr- und Drahtbiegeteile,Schweißbaugruppen,CNC-Fräsmaschinen,CNC-Drehmaschinen,CNC-Schleifmaschinen,Zerspanungen,Umformungen,Schweißungen
INNO FRICTION GmbH,https://www.innofriction.com,False,Reibbeläge,Gleitlager,Schwingungsdämpfer,Prüfeinrichtungen,Mischanlagen,Formgebungsmaschinen,Prüfungen,Mischungen,Formen
Happich GmbH,https://www.happich.de/de/,False,Systeme,Komponenten,Technologien,Spritzgussmaschinen,Formenbaumaschinen,Prüfmaschinen,Spritzgießens,Montagen,Oberflächenbehandlungen
Feintool System Parts Obertshausen GmbH,https://www.feintool.com,False,Komponenten,Systeme,Werkzeuge,Pressen,Stanzungen,Formungen,Feinblechbearbeitungen,Formungen,Elektrolaminierungen
IMR Deutschland GmbH,http://www.imr-industries.com,False,Komponenten,Systeme,Lösungen,,,,Stampaggi,Post-Stampaggi,Logistiken
Lemförder Electronic GmbH,https://www.lemfoerder-electronic.com,False,Technologien,Produkte,Aftermarket,,,,,,
PE Automotive GmbH & Co. KG,http://www.original-pe.com,False,Ersatzteile,Spezialerzeugnisse,Fahrzeugelektriken,,,,,,
KOKI TECHNIK,https://www.kokitransmission.com,False,Schaltsysteme,Getriebe,Bauteile,Spritzgussmaschinen,Prüfmaschinen,Testmaschinen,Spritzgießens,Prüfungen,Testen
Molex CVS Dabendorf GmbH,https://www.molex.com,False,Verbinder,Kabelbaugruppen,Antennen,,,,,,
Dr. Freist Automotive GmbH,https://www.dfa-gmbh.com,False,Entdröhnfolien,Hybridmaterialien,Versteifungsfolien,Mischer,Kalander,Knetanlagen,Mischungen,Kalandrierungen,Kneten
SCHROTH Safety Products GmbH,https://www.schroth.com/de/,False,Gurtsysteme,Rückhaltesysteme,Sicherheitslösungen,,,,,,
REBO Lighting & Electronics GmbH,https://www.rebo-group.de,False,Beleuchtungssysteme,Beleuchtungstechnologien,Automobilbeleuchtungen,Fräsmaschinen,Lasermarkiermaschinen,Spritzgießmaschinen,Fräsen,Lasermarkierungen,Spritzgießungen
Litens Automotive GmbH & Co. KG,https://litens.com,False,Technologien,Lösungen,Dienstleistungen,,,,,,
DENSO AUTOMOTIVE Deutschland GmbH,https://www.denso-am.eu/de/,False,Autoteile,Diesel Komponenten,Filter,,,,,,
Jifeng Automotive Interior GmbH,https://jifeng-automotive.com,False,Kopfstützen,Mittelarmlehnen,Automobil-Innenraumkomponenten,,,,,,
Langen CNC Metalltechnik GmbH & Co. KG,https://langen-cnc.de,True,Spezialanfertigungen,Lasertechniken,Umformungen,Lasermaschinen,Biegen,Schweißmaschinen,Laserschneiden,Biegen,Schweißen
Vollmann Group,https://www.vollmann-group.com,False,Komponenten,Systeme,Baugruppen,Stanzmaschinen,Tieziehmaschinen,Spritzgießmaschinen,Spritzgießen,Stanzen,Tiefziehen
Magna Car Top Systems GmbH,https://www.magna.com,False,Automobile,Komponenten,Systeme,,,,,,
Erich Jaeger GmbH + Co. KG,https://www.erich-jaeger.com/de/,False,Verbindungssysteme,Elektrosätze,Steckverbinder,,,,,,
Meleghy Automotive GmbH & Co. KG,http://meleghyautomotive.de,False,Automobilkomponenten,Blechbaugruppen,Fahrwerkskomponenten,Pressen,Fügeanlagen,KTL-Anlagen,Umformtechniken,Fügetechniken,Beschichtungen
GEDIA Gebrüder Dingerkus GmbH,https://www.gedia.com,False,Baugruppen,Komponenten,Funktionselemente,Fräsmaschinen,Erodiermaschinen,Laserschneidmaschinen,Fräsen,Erodieren,Laserschneiden
Walther Flender GmbH,https://www.walther-flender.de/de/,False,Zahnriemenantriebe,SKID Tragrollen,Getriebemotoren,,,,,,
ModellTechnik Rapid Prototyping GmbH,https://www.modelltechnik.de,True,Prototypen,Modelle,Werkzeuge,Fräsmaschinen,Laminiermaschinen,Spritzgießmaschinen,Fräsen,Laminieren,Spritzgießen
NIFCO Germany GmbH,https://www.nifco.de,False,Ablagefächer,Aschenbecher,Dachkonsolen,,,,,,
MicroVision,https://microvision.com,False,Lidar-Sensoren,Validierungssoftware,Wahrnehmungssoftware,,,,,,
ESKA Automotive GmbH,https://eska.net/de/,False,Verbindungselemente,Kaltformteile,hochfeste Aluminiumschrauben,Mehrstufenpressen,Wärmebehandlungslinien,CNC-gesteuerte Automaten,Kaltmassivumformungen,Wärmebehandlungen,Mechanische Bearbeitungen
Karosseriewerke Dresden GmbH,https://www.kwdag.com,True,Karosserieeinzelteile,Karosseriebaugruppen,Schweisszusammenbauten,Pressen,Fräsmaschinen,Schweißmaschinen,Pressen,Fräsen,Schweißen
MFT Motoren und Fahrzeugtechnik GmbH,https://mft-cunewalde.de,False,Wellenbearbeitungen,Ausgleichswellen,Prismatische Bauteile,Fräsmaschinen,Schleifmaschinen,CNC-Drehmaschinen,Drehungen,Fräsungen,Schleifungen
Sedlmayer GmbH,https://www.sedlmayer-gmbh.de,True,Fahrwerksteile,Motorenteile,Modulmontagen,CNC-Bearbeitungszentren,Drehmaschinen,Koordinatenmessmaschinen,CNC-Bearbeitungen,Modulmontagen,Qualitätssicherungen
Hörauf & Kohler GmbH,https://www.hoeko.com,False,Spritzgussteile,Oberflächen,High-End-Baugruppen,Spritzgießmaschinen,Formenbaumaschinen,Montagemaschinen,Spritzgießens,Formenbauten,Montagen
Frauenthal Airtank Elterlein GmbH,https://www.frauenthal-automotive.com,False,Komponenten,Druckluftbehälter,Metallkomponenten,Pressen,Schweißmaschinen,Automatikpressen,Pressen,Schweißprozesse,Automatikpressen
Autoneum Germany GmbH,https://www.autoneum.com,False,Komponenten,Module,Systeme,,,,,,
Global Safety Textiles GmbH,https://www.global-safety-textiles.com,False,Airbags,Airbaggewebe,Technische Textilien,Webmaschinen,Beschichtungsmaschinen,Konfektionsmaschinen,Weben,Beschichtungen,Konfektionierungen
