Company name,Company Url,Lohnfertigung(True/False),Produkte_1,Produkte_2,Produkte_3,Maschinen_1,Maschinen_2,Maschinen_3,Prozess_1,Prozess_2,Prozess_3,Ort,technische Anlagen und Maschinen 2021/22,Maschinen_Park_Size
Ziegler GmbH,https://ziegler-gruppe.eu,True,Maschinenkomponenten,Präzisionsdrehteile,Spezialbauteile,Drehmaschinen,Fräsmaschinen,Schleifmaschinen,Drehungen,Fräsungen,Schleifungen,Pöttmes,2418629.0,80-120
Ziegler GmbH,https://ziegler-gruppe.eu,True,Maschinenkomponenten,Präzisionsdrehteile,Spezialbauteile,Drehmaschinen,Fräsmaschinen,Schleifmaschinen,Drehungen,Fräsungen,Schleifungen,Bermatingen,2418629.0,80-120
Rime GmbH,https://rime.de/de/,True,Kantteile,Laserteile,Schweißbaugruppen,Fräsmaschinen,Kantpressen,Laserschneidanlagen,Abkanten,Fräsen,Laserschneiden,Riesa,3769545.0,120-200
Ludwig Michl GmbH,http://www.l-m-w.de,False,Kolonneneinbauten,Maschinenbauten,,,,,Pulverbeschichtungen,Tiefziehens,,Waakirchen,574484.0,10-15
Feinwerktechnik hago GmbH,https://www.hago-ft.de/de/,True,Muster,Sondermaschinen,Werkzeuge,Fluidcell-Pressen,Lasertechnik-Anlagen,Schnellpressen,Laserschneiden,Stanzen,Umformtechniken,Küssaberg,24182289.0,350-600
WWS Metallformen GmbH,https://www.wws-metallformen.de,True,Baugruppen,Hochtemperaturdämmungen,Tiefziehteile,Fräsmaschinen,Laserschneidmaschinen,Pressen,Laserschneiden,Stanzen,Tiefziehen,Hatzenbühl,1846999.0,80-120
Teckentrup GmbH + Co. KG,https://www.teckentrup.de,True,Stanzteile,Tiefziehteile,Umformteile,Stanzmaschinen,Tiefziehmaschinen,Umformmaschinen,Stanzen,Tiefziehen,Umformen,Herscheid,1144441.0,21-40
MVK Blech- und Metallverarbeitung,https://mvk-metall.de,True,Konstruktionen,Präzisionsteile,Qualitätsgesicherte Produkte,CNC-Fräsmaschinen,Laseranlagen,Schweißmaschinen,Fräsen,Laserschneiden,Schweißen,Heek,866411.0,15-20
Wieland Eucaro GmbH,https://www.wieland-eucaro.de/de/,False,Bleche,Fittings,Rohre,CNC-Bearbeitungszentren,CNC-Drehautomaten,Wärmebehandlungsanlagen,Kaltumformungen,Schweißverbindungen,Zerspanungen,Bremen,1327138.0,40-60
Hombach Wärmetechnik GmbH,https://www.hombach.de,False,Berechnungstools,Klimatechnikprodukte,Wärmeübertrager,,,,,,,Rosenheim (Landkreis Altenkirchen),1191927.0,21-40
Scheideler GmbH & Co KG,https://www.scheideler-gmbh.de,False,,,,,,,,,,Borgentreich,4555007.0,120-200
Ziegler GmbH,https://www.ziegler-harvesting.com/de/,False,Maispflücker,Rapserntetechniken,Sonnenblumenschneidwerke,,,,,,,Pöttmes,2418629.0,80-120
Ziegler GmbH,https://www.ziegler-harvesting.com/de/,False,Maispflücker,Rapserntetechniken,Sonnenblumenschneidwerke,,,,,,,Bermatingen,2418629.0,80-120
Hadrian GmbH & Co. Metall- und Kunststofftechnik KG,https://www.hadrian-wolgast.de,True,Blechteile,geschweißte Baugruppen,,CNC-Maschinen,Oberflächenbehandlungsmaschinen,Schweißmaschinen,Drehungen,Fräsungen,Schweißungen,Wolgast,2053112.0,80-120
BVS-Blechtechnik GmbH,https://www.bvs-blechtechnik.de,True,Baugruppen,Blechteile,Endgeräte,Abkantpressen,Laseranlagen,Nietmaschinen,Abkanten,Lasern,Nieten,Böblingen,585191.0,10-15
KWL Blechverarbeitungs GmbH,https://www.kwl-blech.de,True,Blechverarbeitungen,Montagen,Oberflächenbehandlungen,CNC-Bearbeitungszentren,Laserschneidmaschinen,Rohrlaser,CNC Laserschneiden,Mechanische Bearbeitungen,Umformtechniken,Neuwied,3408476.0,120-200
RMIG GmbH,http://rmig.de,False,Kalkulatoren,Lochbleche,Standardprodukte,,,,,,,Raguhn-Jeßnitz,5526112.0,200-350
de Crignis Blechverarbeitung GmbH,https://www.de-crignis-gmbh.de,True,Blechverarbeitungen,Gehäuse,Pulverbeschichtungen,Biegemaschinen,Laserschneidemaschinen,Schleifmaschinen,Biegen,Laserschneiden,Schleifen,Augsburg,3421841.0,120-200
Geyer Umformtechnik GmbH,http://www.geyer-ut.de,True,Baugruppenträger,Blechbaugruppen,Gehäuse,CNC-gesteuerte Biegemaschinen,Laserschneidmaschinen,Stanzmaschinen,Biegetechniken,Laserschneiden,Stanzen,Berlin,3767475.0,120-200
KODA Stanz- und Biegetechnik GmbH,http://www.koda-gmbh.de,True,Fertigungstechnologien,Innovationen,Produkte,Biegemaschinen,Schweißmaschinen,Stanzmaschinen,Biegen,Schweißen,Stanzen,Holzwickede,3278142.0,120-200
Ernst Umformtechnik GmbH,https://www.ernst.de,True,Automobilsicherheitsteile,Getriebeteile,Thermomanagementteile,Laserschweißmaschinen,Pressen,Stanzen,Biegen,Laserschweißen,Stanzen,Oberkirch,10671362.0,350-600
