Company name,Company Url,Lohnfertigung(True/False),Produkte_1,Produkte_2,Produkte_3,Maschinen_1,Maschinen_2,Maschinen_3,Prozess_1,Prozess_2,Prozess_3,Ort,technische Anlagen und Maschinen 2021/22,Maschinen_Park_Size,Maschinen_Park_var,hours_of_saving
Dr. Freist Automotive Bielefeld GmbH,https://www.dfabielefeld.de,False,Akustik-Lösungen,Hotmelt-Kleber,Isolationen,Anlagen,Stanzen,Pressen,Extrudieren,Kalandrieren,Tiefziehen,Bielefeld,6620797.0,200-350,200,75000
Hehnke GmbH & Co. KG,https://www.hehnke.de,True,Hybridbauteile,Kunststoffteile,Metall-Kunststoff-Verbindungen,Spritzgießmaschinen,Formenbaumaschinen,Stanzmaschinen,Spritzgießens,Formenbauten,Stanztechnologien,Steinbach-Hallenberg,3743399.0,120-200,120,45000
Mühlhoff Umformtechnik GmbH,https://www.muehlhoff.de,False,Bauteile,Komponenten,Module,Pressen,Schweißanlagen,Messmaschinen,Umformungen,Schweißungen,Oberflächenbehandlungen,Uedem,10738996.0,350-600,350,131250
Beutlhauser GmbH & Co. KG,https://beutlhauser.com,True,Drehteile,Umformungsteile,Sensorikbauteile,Fräsmaschinen,Stanzmaschinen,Drehmaschinen,Fräsen,Stanzen,Drehen,Salzweg,3116434.0,120-200,120,45000
Kohl Automotive GmbH,https://www.kohl-automotive.de,False,Automobilkomponenten,Leichtbauteile,Stanzprodukte,,,,,,,Treuenbrietzen,2409399.0,80-120,80,30000
Akkumulatorenfabrik Moll,https://www.moll-batterien.de/de/,False,,,,,,,,,,Bad Staffelstein,7913317.0,200-350,200,75000
Haldex GmbH,https://www.haldex.com/de/,False,Bremssysteme,Luftfedersysteme,Sicherheitslösungen,,,,,,,Heidelberg,981784.0,21-40,21,7875
FEUER powertrain GmbH & Co. KG,https://feuer-pt.de,False,Kurbelwellen,Spezialtechnologien,Sonderbauformen,Fräsen,Schleifen,Montagemaschinen,Fräsen,Schleifen,Montagen,Nordhausen,52615314.0,350-600,350,131250
Umformtechnik Radebeul GmbH,https://umformtechnik-alu.de,True,Aluminium-Schmiedeteile,Gesenkschmiedeteile,Komponenten,Spindelpressen,Jet-Heating-Erwärmungen,CAD/CAM-Systeme,Schmieden,Lösungsglühen,Warmauslagern,Radebeul,902461.0,21-40,21,7875
RaceChip Chiptuning GmbH & Co KG,https://www.racechip.de,False,Chiptuning-Module,Gaspedal-Tunings,Luftfilter,,,,,,,Göppingen,285106.0,No Match,,
KAMEI GmbH & Co. KG,https://www.kamei.de,False,Dachboxen,Dachträger,Interieur-Zubehör,,,,Spritzgießverfahren,Tiefziehverfahren,Ultraschallschweißverfahren,Wolfsburg,744987.0,15-20,15,5625
Finova Feinschneidtechnik GmbH,https://www.mendritzki.de,True,Bandstähle,Präzisionsteile,Schneidwerkzeuge,Fräsmaschinen,Erodiermaschinen,Laserschneidmaschinen,Fräsen,Erodieren,Laserschneiden,Remscheid,3710147.0,120-200,120,45000
KHT Fahrzeugteile GmbH,https://rupf-industries.com,False,Gummi-Metall-Komponenten,Fahrzeugteile,Hydrauliksysteme,Stanzmaschinen,Schweißmaschinen,Spritzgussmaschinen,Stanzen,Schweißen,Spritzgießen,Grevenbroich,1111276.0,21-40,21,7875
Schieffer GmbH & Co. KG,https://schieffer-group.com,False,Produkte,Referenzen,Videos,Spritzgussmaschinen,Pressen,Extrusionsmaschinen,Spritzgüsse,Pressen,Extrusionen,Lippstadt,3276192.0,120-200,120,45000
McGard Deutschland GmbH,https://mcgard.de,False,Radsicherungen,Automobil Nachrüstungen,Maritime Diebstahlsicherungen,,,,,,,Nordheim,3954099.0,120-200,120,45000
Musashi Hann. Muenden Machining GmbH & Co. KG,https://www.eu.musashi-group.com,False,Schmiedeteile,Komponenten,Baugruppen,Fräsmaschinen,Schleifmaschinen,Erodiermaschinen,Drehungen,Fräsungen,Bohrungen,Hann. Münden,2679804.0,120-200,120,45000
Boryszew Kunststofftechnik,https://bap.boryszew.eu,False,Komponenten,Formen,Werkzeuge,Spritzgussmaschinen,Galvanikanlagen,CNC-Fräsmaschinen,Spritzgießens,Galvanisierens,Fräsens,Gardelegen,7643608.0,200-350,200,75000
Hörmann Automotive Gustavsburg GmbH,http://www.hoermann-gustavsburg.eu,False,,,,,,,,,,Ginsheim-Gustavsburg,13264288.0,350-600,350,131250
plastic concept GmbH,https://www.plastic-concept.de,False,Baugruppen,thermoplastische Teile,duroplastische Teile,Spritzgießmaschinen,Oberflächenbearbeitungsmaschinen,Montagemaschinen,Spritzgießverfahren,Oberflächenveredelungen,Montagen,Neusalza-Spremberg,4481788.0,120-200,120,45000
Kromberg & Schubert GmbH & Co. KG,https://www.kromberg-schubert.com,False,Verdrahtungssysteme,Spezialkabel,Kunststoffkomponenten,,,,,,,Renningen,1568107.0,60-80,60,22500
Casco Schoeller GmbH,https://cascoauto.com,False,Konnektivitätsprodukte,Elektronik,Stromquellen,,,,,,,Frankfurt am Main,221267.0,No Match,,
KDK Automotive GmbH,http://www.kdkautomotive.com,False,Dekore,Innenraumverkleidungen,Funktionen & Kinematiken,,,,,,,Wächtersbach,2386915.0,80-120,80,30000
BOA Metal Solutions GmbH,https://www.boagroup.com,False,Dehnungsfugen,Metallbalg,Metallschläuche,,,,,,,Stutensee,3168577.0,120-200,120,45000
odelo GmbH,https://odelo.de,False,Leuchtsysteme,Komponenten,Technologien,,,,,,,Stuttgart,1114186.0,21-40,21,7875
CMC Klebetechnik GmbH,https://www.cmc.de,False,Klebebänder,technische Filme,Stanzteile,,,,,,,Frankenthal,376435.0,10-15,10,3750
Jokon GmbH,https://www.jokon.de,False,Beleuchtungssysteme,Leuchten,Ersatzteile,,,,,,,Bonn,711305.0,15-20,15,5625
FICOSA INTERNATIONAL GmbH,http://www.ficosa.de,False,Komponenten,Systeme,,,,,,,,Wolfenbüttel,1442762.0,40-60,40,15000
Dichtungstechnik Wallstabe & Schneider,https://www.wallstabe-schneider.de,False,Dichtungen,O-Ringe,Profildichtungen,Spritzgießmaschinen,Vakuum-Hydraulik-Pressen,Robotertechnologien,Spritzgießens,Pressen,Automatisierungen,Niederwinkling,11346447.0,350-600,350,131250
TR Plast GmbH,https://tr-plast.de,True,Systeme,Komponenten,Baugruppen,Spritzgussmaschinen,Montagemaschinen,Veredelungsmaschinen,Spritzgießens,Montierens,Oberflächenveredelungen,Neumarkt i.d.OPf.,409743.0,10-15,10,3750
IZOBLOK GmbH,https://izoblok.pl,False,Automobilindustrie,Logistiken,HLK-Systeme,Spritzgießmaschinen,CNC-Maschinen,Thermoformmaschinen,Spritzgießverfahren,CNC-Bearbeitungen,Thermoformungen,Ohrdruf,2452456.0,80-120,80,30000
Neuman Aluminium Fließpresswerk GmbH,https://www.neuman.at,False,Profile,Gießungen,Extrusionen,Extrusionspressen,Gießmaschinen,Bearbeitungszentren,extrudieren,gießen,bearbeiten,Rottenburg am Neckar,2289104.0,80-120,80,30000
HEWI G. Winker GmbH & Co. KG,https://hewi-group.com,False,Verschlussschrauben,Kaltfließpressteile,Muttern,Pressen,Gewindeschneidautomaten,Spritzmaschinen,Kaltmassivumformungen,Wärmebehandlungen,Spritzgießen,Spaichingen,8649179.0,200-350,200,75000
Alux-Luxar GmbH & Co. KG,https://www.alux.de,False,Fahrzeugfenster,Schienen,Straßen,,,,,,,Korschenbroich,782699.0,15-20,15,5625
High Precision Components Witten GmbH,https://www.hpc-automotive.de,False,Haubenbeschläge,Stützelemente,Heckklappenbeschläge,Fräsmaschinen,Prüfmaschinen,Simulationssoftwares,Designs,Prototypen,Tests,Witten,4609536.0,120-200,120,45000
Oberaigner Automotive GmbH,https://www.oberaigner.com,True,Allradsysteme,Antriebssysteme,Lohnbearbeitungen,Fräsmaschinen,Drehmaschinen,Schleifmaschinen,Fräsen,Drehen,Schleifen,Laage,21692.0,No Match,,
L. Schaible GmbH & Co. KG,https://www.orca-grp.de,True,Zerspanungsteile,Baugruppen,Präzisionsteile,Drehmaschinen,CNC-Fräsmaschinen,Schleifmaschinen,Drehungen,Fräsungen,Schleifungen,Villingen-Schwenningen,1383949.0,40-60,40,15000
ALCAR DEUTSCHLAND GMBH,https://www.alcar.de,False,Alufelgen,Stahlfelgen,RDKS,,,,,,,Siegburg,119351.0,No Match,,
Wethje Carbon Composites GmbH,https://www.wethje-gmbh.com,False,Bauteile,Monocoques,Karosserien,Autoklaven,RTM-Anlagen,SMC-Anlagen,Laminierungen,Härten,Injektionen,Hengersberg,1712894.0,60-80,60,22500
Hagl GmbH,https://www.hagl-gmbh.de,True,Konstruktionen,Reverse-Engineering,Werkzeug- und Vorrichtungsbauten,Biegemaschinen,Lasermaschinen,CNC-Maschinen,Biegen,Laserschneiden,Schweißen,Attenkirchen,5197691.0,200-350,200,75000
J.H. Ziegler GmbH,https://www.ziegler.eu,False,Kaschierungen,Unternähmaterialien,Vliesstoffe,Nadelmaschinen,Thermobonder,Extruder,Vernadelungen,Thermobondings,Extrusionen,Achern,11351147.0,350-600,350,131250
ETG ELASTOMER-TECHNIK GEDERN GmbH,https://www.etggmbh.com,False,Elastomeren,Kunststoffen,Mehrkomponententeilen,Spritzgießmaschinen,Fräsmaschinen,Montagemaschinen,Spritzgießens,Fräsen,Montagen,Gedern,2573955.0,120-200,120,45000
Lydall Gerhardi GmbH & Co. KG,http://www.lydall.com,False,Leistungswerkstoffe,technische Vliesstoffe,thermische akustische Lösungen,,,,,,,Meinerzhagen,10397045.0,350-600,350,131250
Schweikert GmbH,https://www.schweikert-gruppe.de,True,Werkzeuge,Press- und Stanzteile,Baugruppen,Pressen,Fräsmaschinen,CNC-Bearbeitungsmaschinen,Pressen,Laserschneiden,Fräsen,Lehrensteinsfeld,467753.0,10-15,10,3750
BREMSKERL REIBBELAGWERKE,https://www.bremskerl.de,False,Bremsbeläge,Scheibenbremsbeläge,Kupplungsbeläge,,,,,,,Estorf,4000452.0,120-200,120,45000
FEP Fahrzeugelektrik Pirna GmbH & Co. KG,https://www.fepz.de,False,Steckverbinder,Sensoren,Schalter,Spritzgießmaschinen,Montageautomaten,Bildverarbeitungssysteme,Spritzgießens,Montagen,Oberflächenbehandlungen,Pirna,14031718.0,350-600,350,131250
RMA-TSK-Kunststoffsysteme GmbH & Co KG,https://rma-tsk.de,True,Spritzgussteile,Kunststoff-Formteile,Spritzgießwerkzeuge,Spritzgussmaschinen,2K-Fertigungsmaschinen,Werkzeugbaumaschinen,Spritzgießens,2K-Fertigungen,Werkzeugbauten,Sömmerda,849572.0,15-20,15,5625
Maxion Wheels Werke GmbH,https://www.maxionwheels.com,False,Leichtfahrzeugräder,Nutzfahrzeugräder,Spezialräder,,,,,,,Königswinter,13314782.0,350-600,350,131250
Elektro-Metall Export GmbH,https://www.eme-in.de,False,Aktuatoren,Sensoren,Schalter,,,,,,,Ingolstadt,492147.0,10-15,10,3750
Gerdes GmbH,https://www.gerdes-fenster.de/de/,False,Fenster,Türen,Schiebetüren,Spritzguss-Maschinen,Messmaschinen,Testeinrichtungen,Messens,Spritzgießens,Testens,Kerpen,423834.0,10-15,10,3750
Gerdes GmbH,https://www.gerdes-fenster.de/de/,False,Fenster,Türen,Schiebetüren,Spritzguss-Maschinen,Messmaschinen,Testeinrichtungen,Messens,Spritzgießens,Testens,Lengerich,423834.0,10-15,10,3750
LISI AUTOMOTIVE KKP GmbH & Co. KG,https://www.lisi-automotive.com/en/,False,Gewindeverbindungen,Geklemmte Lösungen,Sicherheitsmechanische Komponenten,,,,,,,Mellrichstadt,6926449.0,200-350,200,75000
MD Elektronik GmbH,https://www.md-elektronik.com/de/,False,Kabelkonfektionen,Elektronik-Module,Sensoriken,,,,,,,Waldkraiburg,5238285.0,200-350,200,75000
HELBAKO GmbH,https://helbako.com,True,Elektroniklösungen,Auftragsfertigungen,Lohnbestückungen,,,,,,,Heiligenhaus,1616939.0,60-80,60,22500
PMA/TOOLS AG,https://pma-tools.de,False,SensorTacks,Montageteile,Klips,,,,,,,Willich,442580.0,10-15,10,3750
smk systeme metall kunststoff,https://www.smk-systeme.de,False,Hybrid-Baugruppen,Aktuatoren,Schweißbaugruppen,Fräsmaschinen,Erodiermaschinen,Laserschneidmaschinen,Fräsen,Erodieren,Laserschneiden,Filderstadt,13057406.0,350-600,350,131250
Kokinetics GmbH,https://www.kokinetics.de,False,Sitzstrukturen,Sitzmechanismen,Sitztiefenversteller,,,,Beschichtungen,Lackierungen,KTLs,Kriftel,3733193.0,120-200,120,45000
AL-KO Technology Paderborn GmbH,https://www.alko-tech.com,False,Chassisse,Aufhängungskomponenten,Nivellierungssysteme,,,,,,,Paderborn,119853.0,No Match,,
Arkal Automotive GmbH,https://www.arkal-automotive.com,False,Lösungen,Komponenten,Dienstleistungen,Spritzgießmaschinen,Montagemaschinen,Prüfmaschinen,Spritzgießens,Montierens,Prüfens,Auengrund,8443645.0,200-350,200,75000
Flex Automotive GmbH,https://flex.com,True,Automotive Manufacturing Solutions,Elektronische Lieferkettenlösungen,Flüssigkeitskühlungslösungen,Fräsmaschinen,Spritzgießmaschinen,Laserschneidmaschinen,Spritzgießens,Laserschneidens,Montagen,Filderstadt,930678.0,21-40,21,7875
Palas GmbH,https://www.palas.de,False,Luftqualitätsmonitore,Filterprüfstände,Aerosolspektrometer,,,,,,,Karlsruhe,887832.0,15-20,15,5625
ELDISY GmbH,https://eldisy.de,False,Dichtungssysteme,Spritzgussteile,Verbundprofile,Spritzgussanlagen,Extrusionsanlagen,Produktionsstraßen,Spritzgießens,Extrudierens,Lackierens,Gardelegen,5162453.0,200-350,200,75000
KBE Elektrotechnik GmbH,https://www.kbe-elektrotechnik.com,False,Fahrzeugleitungen,Solarleitungen,Industrieleitungen,,,,,,,Berlin,1567112.0,60-80,60,22500
FKT GmbH,https://www.fkt-gmbh.com,False,Beschattungen,Cargo-Management-Systeme,Windschotts,Spritzgießmaschinen,,,Spritzgießverfahren,,,Pförring,906690.0,21-40,21,7875
Thun Automotive GmbH,https://www.thun-automotive.de,False,Komponenten,Systeme,Dienstleistungen,,,,,,,Gevelsberg,4246940.0,120-200,120,45000
SOGEFI HD SUSPENSIONS Germany GmbH,https://www.sogefigroup.com/de/,False,Luftansaugungen,Kühlungen,Fahrwerkskomponenten,,,,,,,Hagen,12586579.0,350-600,350,131250
ViGEM GmbH,https://vigem.de,False,Datenlogger,Wechselspeicher,Kopierstationen,,,,,,,Karlsruhe,97821.0,No Match,,
PARAVAN GmbH,https://www.paravan.de,False,Fahrzeugumbauten,Elektrorollstühle,Lenk- und Fahrhilfen,,,,,,,Pfronstetten,480076.0,10-15,10,3750
Drexler Automotive GmbH,https://www.drexler-automotive.com,False,Sperrdifferenziale,Renngetriebe,Antriebswellen,,,,,,,Salzweg,2075338.0,80-120,80,30000
Suroflex GmbH,https://www.suroflex.de,False,Faservliese,Verkleidungen,Isolationsmaterialien,Bindemaschinen,Formmaschinen,Verarbeitungsmaschinen,Mischungen,Formen,Verarbeitungen,Sulzbach-Rosenberg,1892386.0,80-120,80,30000
FLABEG Automotive Group GmbH,https://www.flabeg.com,False,Gläser,Spiegel,Beschichtungen,Biegemaschinen,Beschichtungsanlagen,Laseranlagen,Biegen,Beschichtungen,Laserschneiden,Nürnberg,80649.0,No Match,,
HEPU Autoteile GmbH,https://www.hepu.de,False,Wasserpumpen,Zahnriemensätze,Steuerkettensätze,,,,,,,Kalletal,763997.0,15-20,15,5625
Schmiedetechnik Plettenberg,https://www.stplettenberg.de,False,Schmiedeteile,Komponenten,Bauteile,Hammerlinien,CNC-Anlagen,Tieflochbohreinheiten,Gesenkschmieden,Ringwalzen,Wärmebehandeln,Plettenberg,10180044.0,350-600,350,131250
U-Shin Deutschland GmbH,https://www.u-shin-ltd.com/en/,False,Fahrzeugausstattungen,Industrieausstattungen,Haussicherheitsausstattungen,,,,,,,Erdweg,4262435.0,120-200,120,45000
AGA Zerspanungstechnik Gera GmbH,https://www.samag.de,False,,,,,,,,,,Gera,5778090.0,200-350,200,75000
F. Hesterberg & Söhne GmbH & Co. KG,https://www.hestal.de,False,Verschlüsse,Scharniere,Rungen,,,,,,,Ennepetal,111523.0,No Match,,
Hermann Schnierle GmbH,https://schnierle.de,False,Sitzsysteme,Sicherheitsgurte,Rückhaltesysteme,,,,,,,Gersthofen,251720.0,No Match,,
Komax Testing Germany GmbH,https://www.t-s-k.de,False,Lösungen,Dienstleistungen,Produkte,,,,,,,Porta Westfalica,168932.0,No Match,,
Rollax GmbH & Co. KG,https://www.rollax.com,False,Kugellager,Bewegungssysteme,Fahrwerkskomponenten,Automaten,Prototypenbauten,Versuchslabore,Entwicklungen,Montagen,Testen,Bad Salzuflen,430254.0,10-15,10,3750
Hitachi Astemo Aftermarket Germany GmbH,http://www.hueco.com,False,Automobile,Motorräder,Aufhängungen,,,,,,,Espelkamp,518124.0,10-15,10,3750
müller co-ax ag,https://co-ax.com/de/,False,koaxiale Ventile,Cartridgeventile,Hochdruckventile,,,,,,,Forchtenberg,2449948.0,80-120,80,30000
I.G. Bauerhin GmbH,https://www.bauerhin.com,False,Sitzheizungen,Sitzklimatisierungen,Lenkradheizungen,,,,,,,Gründau,3306145.0,120-200,120,45000
ACPS Automotive GmbH,https://www.acps-automotive.com,False,Anhängevorrichtungen,Fahrradträger,Zubehör,CNC-Biegungen,Umformungen,Zerspanungen,Laserschneidens,Schweißen,Lackierens,Ingersheim,7165371.0,200-350,200,75000
Steinkamp Maschinenbau,https://www.stkm.de,True,Werkzeuge,Formen,Sondermaschinen,Fräsmaschinen,Drehmaschinen,Erodiermaschinen,Fräsen,Drehen,Erodieren,Espelkamp,439443.0,10-15,10,3750
Hubert Schlieckmann GmbH,https://www.schlieckmann.de,True,Automobile,Haushaltsgeräte,Bauwesen,CAD-Software,Schweißmaschinen,Oberflächenbehandlungsmaschinen,Bauten,Werkzeugherstellungen,Produktionen,Harsewinkel OT Marienfeld,457293.0,10-15,10,3750
cellcentric GmbH & Co. KG,https://cellcentric.net,False,Brennstoffzellensysteme,,,,,,,,,Kirchheim unter Teck,7346085.0,200-350,200,75000
STEMA Metalleichtbau GmbH,https://www.stema.de/de/,False,Anhänger,Planen,Zubehör,Stanzmaschinen,Exzenterpressen,Lackieranlagen,Stanzen,Pressen,Lackierarbeiten,Großenhain,2494731.0,80-120,80,30000
Huber Automotive AG,https://www.huber-automotive.com,False,Steuergeräte,Batteriemanagementsysteme,Hybridantriebe,,,,,,,Mühlhausen im Täle,1931847.0,80-120,80,30000
NAF Neunkirchener Achsenfabrik AG,https://www.nafaxles.com,False,Bogieachsen,Lenkachsen,Starrachsen,,,,,,,Neunkirchen am Brand,3519569.0,120-200,120,45000
MSSC AHLE GmbH,https://www.ahle-federn.com,False,Mini-SPFs,Zuganschlagfedern,Miniblockfedern,,,,,,,Lindlar,3593132.0,120-200,120,45000
ATERA GmbH,https://www.atera.de,False,Fahrradträger,Dachträger,Dachboxen,,,,,,,Leutkirch im Allgäu,113258.0,No Match,,
Geiger Automotive GmbH,https://www.geigerautomotive.com,False,Produkte,Lösungen,Systembauteile,,,,Spritzgießens,Fluid-Injektions-Technologien,Projektil-Injektions-Technologien,Murnau am Staffelsee,12499944.0,350-600,350,131250
BRUSS Werk Brieselang GmbH & Co. KG,https://www.bruss.de,False,Dynamische Dichtungssysteme,Elastomerdichtungen,Abdeckmodule,,,,,,,Brieselang,233431.0,No Match,,
HMT Heldener Metalltechnik GmbH & Co. KG,https://www.hmt-automotive.com,False,Bauteile,Baugruppen,Komponenten,Stanzpressen,Laserschweißanlagen,Klebeanlagen,Stanzen,Laserschweißen,Kleben,Attendorn,4637365.0,120-200,120,45000
Hanwha Advanced Materials Germany GmbH,https://www.hanwha.com,False,Lösungen,Technologien,Dienstleistungen,,,,,,,Dietfurt an der Altmühl,3063061.0,120-200,120,45000
KMS Gesenkschmiede GmbH,https://www.kms-solingen.de,False,Schmiedeteile,Hebel,Verschlussteile,,,,Schmieden,Bearbeitungen,Montagen,Solingen,193675.0,No Match,,
Craemer GmbH,https://www.craemer.com,False,Kunststoffpaletten,Großladungsträger,Kunststoffbehälter,Spritzgießmaschinen,Pressen,Fräsmaschinen,Spritzgießens,Pressens,Fräsens,Herzebrock-Clarholz,31802336.0,350-600,350,131250
G S T GmbH GERMAN SENSOR TECHNOLOGY,https://www.gst-sensor.com,False,Sensoren,Kabelapplikationen,Werkzeuge,Spritzgießmaschinen,Crimpmaschinen,Splicemaschinen,Spritzgießens,Crimpens,Splicens,Holzgerlingen,220350.0,No Match,,
Eisenwerk Hasenclever & Sohn GmbH,https://hasenclever.com,False,Abgaskomponenten,Gussteile,Zylinderköpfe,Gießmaschinen,Fräsmaschinen,Schleifmaschinen,Gießens,Fräsens,Schleifens,Battenberg (Eder),8800203.0,200-350,200,75000
Proseat GmbH & Co. KG,https://proseat.eu,False,Formschaumteile,Trim Parts,Leichtbaukomponenten,,,,,,,Mörfelden-Walldorf,1693041.0,60-80,60,22500
allsafe GmbH & Co. KG,https://www.allsafe-group.com,False,Ladungssicherungssysteme,Sicherheitsprodukte,Befestigungslösungen,,,,,,,Engen,5838454.0,200-350,200,75000
Knott GmbH,https://www.knott.de,False,Bremsen,Trailer,Anhänger,,,,,,,Eggstätt,2464640.0,80-120,80,30000
Trompetter Guss GmbH & Co. KG,https://www.trompetter-guss.de,False,Gussteile,Modelle,Ausbildungsplätze,Formanlagen,Induktionsöfen,Kernschießautomaten,Gießens,Qualitätskontrollen,Oberflächenbehandlungen,Bindlach,928974.0,21-40,21,7875
Wagon Automotive Nagold GmbH,http://www.wagon-nagold.de,True,Körpermodule,Blechumformung,Oberflächenbeschichtung,Pressmaschinen,Formmaschinen,Beschichtungsmaschinen,Blechumformung,Fahrzeugkarosseriebau,Oberflächenbeschichtung,Nagold,74687619.0,350-600,350,131250
Gates GmbH,https://www.gates.com,False,Übertragungen,Riemen,Schläuche,,,,,,,Aachen,235814.0,No Match,,
MHG Fahrzeugtechnik GmbH,http://www.mhg-fahrzeugtechnik.de,False,,,,,,,,,,Heubach,2614049.0,120-200,120,45000
Gersfelder Metallwaren GmbH,https://www.gersfelder-metallwaren.de,True,Drehteile,Rohr- und Drahtbiegeteile,Schweißbaugruppen,CNC-Fräsmaschinen,CNC-Drehmaschinen,CNC-Schleifmaschinen,Zerspanungen,Umformungen,Schweißungen,Gersfeld (Rhön),1928191.0,80-120,80,30000
INNO FRICTION GmbH,https://www.innofriction.com,False,Reibbeläge,Gleitlager,Schwingungsdämpfer,Prüfeinrichtungen,Mischanlagen,Formgebungsmaschinen,Prüfungen,Mischungen,Formen,Hamm (Sieg),5988981.0,200-350,200,75000
Happich GmbH,https://www.happich.de/de/,False,Systeme,Komponenten,Technologien,Spritzgussmaschinen,Formenbaumaschinen,Prüfmaschinen,Spritzgießens,Montagen,Oberflächenbehandlungen,Wuppertal,332099.0,10-15,10,3750
Feintool System Parts Obertshausen GmbH,https://www.feintool.com,False,Komponenten,Systeme,Werkzeuge,Pressen,Stanzungen,Formungen,Feinblechbearbeitungen,Formungen,Elektrolaminierungen,Obertshausen,8994401.0,200-350,200,75000
IMR Deutschland GmbH,http://www.imr-industries.com,False,Komponenten,Systeme,Lösungen,,,,Stampaggi,Post-Stampaggi,Logistiken,Peine,2759188.0,120-200,120,45000
Lemförder Electronic GmbH,https://www.lemfoerder-electronic.com,False,Technologien,Produkte,Aftermarket,,,,,,,Espelkamp,4646958.0,120-200,120,45000
PE Automotive GmbH & Co. KG,http://www.original-pe.com,False,Ersatzteile,Spezialerzeugnisse,Fahrzeugelektriken,,,,,,,Wuppertal,55735.0,No Match,,
KOKI TECHNIK,https://www.kokitransmission.com,False,Schaltsysteme,Getriebe,Bauteile,Spritzgussmaschinen,Prüfmaschinen,Testmaschinen,Spritzgießens,Prüfungen,Testen,Niederwürschnitz,12303495.0,350-600,350,131250
Molex CVS Dabendorf GmbH,https://www.molex.com,False,Verbinder,Kabelbaugruppen,Antennen,,,,,,,Zossen,9643447.0,200-350,200,75000
