Company,Table,Machine_1,Machine_2,Machine_3
Kunststoffwerk Neuteichnitz Baier GmbH,Aktiva,6213460,3399147,
KCL GmbH,AKTIVA,2818415,3131739,
Optibelt Material Handling GmbH,AKTIVA,1217767,1451195,
KSM Kunststofftechnik,AKTIVA,850812,676045,
Heller Kunststoffe GmbH Herborn,Aktiva,298950,373897,
Birner Kunststofftechnik GmbH,Angabe gemäß §327 Nr. 1 HGB,2310931,,
BUKUMA GmbH,AKTIVA,2835944,2762152,
Schmid GmbH Kunststofftechnik,Unknown Table,1870312,1813074,
epsotech Germany GmbH,Aktiva,4049920,4414,
Lockweiler Plastic Werke,Aktiva,727680,176172,
BAUM KUNSTSTOFFE GMBH,Aktiva,1832292,1002297,
CPS GmbH,Aktiva,883824,1005517,
emano Kunststofftechnik GmbH,AKTIVA,3814234,4277699,
Mitschke GmbH Co. Kunststoffwerk KG,Aktiva,1101922,1195712,
hünersdorff GmbH,Aktivseite,1308014,1528035,
KOLEKTOR KAUTT & BUX GmbH,AKTIVA:,863865,1229,
S & W GmbH Präzisionskunststoffspritzguß,C. Weitere Angaben und Erläuterungen zur Bilanz,3360904,83427,3444331
Andreas Rupp GmbH,Aktiva,543354,682465,
Trygonal Group GmbH,AKTIVA,709198,657,
Bergmann Spritzguss,Aktiva,2413205,2233262,
Truplast Kunststofftechnik GmbH,Aktiva,748492,233169,
WEIDPLAS Germany GmbH,AKTIVA,9435678,7948124,
BaS Kunststoffverarbeitung GmbH,Aktiva,344520,544763,
CosMed GmbH & Co KG,Aktiva,6888185,5751,
Liedtke Kunststofftechnik GmbH,Aktiva,1428696,1755489,
Hunold + Knoop Kunststofftechnik GmbH,Aktiva,222381,291586,
I. D. von Hagen Aktiengesellschaft,AKTIVA,1978005,2356405,
BBP Kunststoffwerk Marbach Baier GmbH,Aktiva,4547398,4261342,
OMEGA TECHNOLOGY GmbH & Co. KG,AKTIVA,1510480,1487011,
Jordan Spritzgusstechnik GmbH,Aktiva,525783,639508,
KWM Kunststoff- Formteile GmbH,AKTIVA,23367,39968,
SICO D. u. E. Simon GmbH,Aktiva,566594,355336,
2 R Kunststofftechnik GmbH & Co.,AKTIVA,1404789,845988,
Trelleborg Sealing Profiles Germany GmbH,Aktiva,826493,1079940,
Semperit Profiles Deggendorf GmbH,Aktiva,5025419,5328216,
Mast Kunststoffe GmbH,Aktiva,1501484,727106,
IDT Industrie- und Dichtungstechnik,Aktiva,3550050,3222106,
Oskar Lehmann GmbH & Co. KG,AKTIVA,483337,597509,
ATKA Kunststoffverarbeitung GmbH,Aktiva,2007815,2372214,
Varioplast Konrad Däbritz GmbH,AKTIVA,2983398,2440389,
Mitsubishi Chemical,Aktiva,4326801,2763,
P K T Präzisions- Kunststoff- Teile GmbH,Aktiva,5770592,5267938,
qtec Kunststofftechnik GmbH Quedlinburg,Aktiva,477729,705487,
