Company,Table,Machine_1,Machine_2,Machine_3
EZM Edelstahlzieherei Mark GmbH,AKTIVA,4072481,4489691,
Haller Industriebau GmbH,Aktiva,1391007,1078943,
Julius Schuele Druckguss GmbH,AKTIVSEITE:,1024461,,
Metallwerk Sundern,Aktiva,1651345,1934966,
Ostseestaal GmbH & Co. KG,Für das Jahr 2022 plant das Unternehmen mit einem Ergebnis über dem Niveau des Jahres 2021. Im Einze,1252684,1458921,
CASAR Drahtseilwerk Saar GmbH,Aktiva,4335359,4970829,
MICROMETAL GmbH,AKTIVSEITE,371184,511953,
Steeltec GmbH,Aktiva,11541379,11960,
Schmiedag GmbH,Aktiva,3165816,3952739,
Dorstener Drahtwerke,Volker Tüshaus,7316096,,
JAHN GmbH,Aktiva,28298167,28494294,
SAAR-BLANKSTAHL GmbH,Die Saar-Blankstahl GmbH hat keinen Aufsichts- oder Beirat.,4912,6395,
Hubl GmbH,AKTIVA,421482,453,
GWG Gasflaschenwerk Gruenhain GmbH,Aktiva,799934,1114650,
FRANK Walz- und Schmiedetechnik GmbH,AKTIVA,5090487,5004417,
Badische Drahtwerke GmbH,Unknown Table,3668456,4636438,
Rudi Goebel GmbH & Co. KG,Unknown Table,3262421,2785500,
Eisenwerk Wuerth GmbH,Aktiva,1650420,2143,
Quadrus Metalltechnik GmbH,AKTIVA,5479083,5750589,
G ue l d e GmbH & Co KG Kaltwalzwerk,Aktiva,1545641,1625922,
Koenig & Co. GmbH,AKTIVA,5427872,6980877,
PS Laser GmbH & Co. KG,AKTIVA,4756606,4288208,
VAUTID GmbH,Aktiva,522316,469527,
WiRoPa GmbH,Aktiva,981755,1209742,
Dillenberg GmbH & Co. KG,AKTIVA,1811416,1763099,
Schüer GmbH,Aktiva,147280,134424,
ZGG - Zeitzer Guss GmbH,AKTIVA,13701876,11129873,
Albrecht Zwick GmbH,AKTIVA,373475,289388,
Rudolf Wiegmann Umformtechnik GmbH,A K T I V A,3160223,3308047,
Gesellschaft fuer Wolfram-Industrie mbH,Aktiva,658087,615280,
Sprint Metal Edelstahlziehereien GmbH,Aktiva,509111,522672,
Heuschkel Druckguss GmbH,AKTIVA,249688,,
Drahtwerk Waidhaus GmbH,1. Anlagevermögen,17244439,22554,17266994
Ritter Leichtmetallguss GmbH,AKTIVA,3364975,2162182,
Busch + Kunz GmbH & Co. KG,AKTIVA,2161054,2474969,
Weinmann Aach AG,Aktivseite,498185,270953,
Ervin Germany GmbH,Unknown Table,2,10530164,10476684
Ernst Moeschle Behaelterbau GmbH,Aktiva,188393,41677,
DWK Drahtwerk Koeln GmbH,Nachtragsbericht,5164318,6161527,
Sumitomo Electric Hartmetallfabrik GmbH,Aktiva,6977984,8231064,
Deutsche Nickel GmbH,AKTIVA,3763649,4158819,
RSB Rationelle,Davon entfielen auf:,165,,
BRUGG German Pipe GmbH,Unknown Table,2501540,2722474,
H. Hesse,AKTIVA,736834,719695,
Leonhard Breitenbach GmbH,Aktivseite,679129,553392,
THIELE GmbH + Co. KG,AKTIVA,12397464,14466228,
LTI-Metalltechnik GmbH,AKTIVA,5894802,5349,
Stahlrump GmbH & Co. KG,Aktiva,5936618,6237664,
Schmid GmbH,Aktiva,1095336,834301,
Koenig Metall GmbH & Co. KG,Aktiva,8543075,10555479,
Friedr. Lohmann GmbH,AKTIVA,9701154,11403794,
StrikoWestofen GmbH,Aktiva,19790,26994,
Heinz Gothe GmbH & Co. KG,AKTIVA,378677,433,
Lenz Kaemper GmbH & Co. KG,4. Bezüge der Geschäftsführung und der Mitglieder des Beirats,391573,527101,
Welser Profile Deutschland GmbH,AKTIVA,13753816,17602389,
DGH Heidenau GmbH & Co. KG,AKTIVA,12103974,9992511,
TRIDELTA Hartferrite GmbH,A k t i v a,700234,492469,
Betafence GmbH,AKTIVA,172636,216641,
