Company name,Company Url,Lohnfertigung(True/False),Produkte_1,Produkte_2,Produkte_3,Maschinen_1,Maschinen_2,Maschinen_3,Prozess_1,Prozess_2,Prozess_3,Ort,technische Anlagen und Maschinen 2021/22,Maschinen_Park_Size,Maschinen_Park_var,hours_of_saving
MK-Tools-Service GmbH,https://www.mk-tools-service.de,True,PKD-Sonderwerkzeuge,VHM-Sonderwerkzeuge,sonstige Zerspanungswerkzeuge,CNC-Maschinen,Fräsmaschinen,Schleifmaschinen,Bohren,Fräsen,Schleifen,Hauzenberg,1936093.0,80-120,80,30000
CFH Löt- und Gasgeräte GmbH,https://cfh-gmbh.de,False,Anzünder,Elektrolötgeräte,Gaslötgeräte,,,,,,,Offenau,50873.0,No Match,,
CEDIMA Diamantwerkzeug- und Maschinenbaugesellschaft mbH,https://www.cedima.com,False,Bohrer,Diamantwerkzeuge,Maschinen,Fräsmaschinen,Schleifmaschinen,Sägen,Fräsen,Schleifen,Sägen,Celle,222011.0,No Match,,
Krebs & Riedel Schleifscheibenfabrik,https://www.krebs-riedel.de,False,CBNwerkzeuge,Schleifscheiben,Trennscheiben,Schleifmaschinen,Schleifspindeln,Schleifwerkzeugmaschinen,Schleifen,Schruppen,Trennungen,Bad Karlshafen,3183091.0,120-200,120,45000
falch gmbh,https://www.falch.com/de/,False,Hochdruckreiniger,Wasserstrahlgeräte,Wasserstrahlroboter,,,,,,,Blaubeuren,4640365.0,120-200,120,45000
Beissbarth GmbH,https://www.beissbarth-online.com,False,ADAS-Kalibriersysteme,Achsvermessungssysteme,Reifendiagnosesysteme,,,,,,,München,265745.0,No Match,,
TKR Spezialwerkzeuge GmbH,https://www.tkrgroup.com,False,Kabelsysteme,Powertools,Spezialwerkzeuge,,,,,,,Gevelsberg,1248301.0,15-20,15,5625
HOSCH Fördertechnik Recklinghausen GmbH,https://www.hosch-international.com/wp/,False,Schaber Typ A1,Schaber Typ B6,Schaber Typ C,,,,,,,Recklinghausen,102983.0,No Match,,
Koll & Cie. GmbH & Co KG,https://kollgermany.de,False,Heckenscheren,Kreissägeblätter,Schneidwerkzeuge,Fräsmaschinen,Laserschneidmaschinen,Schleifmaschinen,Fräsen,Laserschneiden,Schleifen,Neunburg vorm Wald,1075306.0,15-20,15,5625
INFIELD SAFETY GmbH,https://www.infield-safety.com,False,Gehörschutze,Schutzbrillen,Schutzbrillen mit Sehstärken,,,,,,,Solingen,251286.0,No Match,,
Robert Röntgen GmbH & Co. KG,https://roentgen-saw.com/de/,False,Sägeblätter,Sägebänder,Zubehör,,,,,,,Remscheid,7377261.0,200-350,200,75000
Weitkowitz GmbH,https://www.weitkowitz.de,False,Aderendhülsen,Kabelschuhe,Kabelverbinder,,,,,,,Peine,1980616.0,80-120,80,30000
Wirth GmbH,https://www.wirth-gmbh.com/de/,False,Kantprofile,Spezialformteile,Vakuumhebegeräte,,,,Blechbearbeitungen,Handlings,Montagen,Landsberg,1422936.0,40-60,40,15000
H. Schönenberger GmbH,https://www.schoenenberger-messer.de,False,Schneidleisten,Schneidrotoren,Unterwassergranulierungen UWG,Fräsmaschinen,Reparaturmaschinen,Schleifmaschinen,Fräsen,Reparaturen,Schleifen,Deizisau,484968.0,10-15,10,3750
Klingspor AG,https://www.klingspor.de,False,Fiberscheiben,Schleifbänder,Schleifrollen,Bandschleifmaschinen,Fräsmaschinen,Schleifmaschinen,Bohren,Fräsen,Schleifen,Haiger,20789765.0,350-600,350,131250
Techtronic Industries GmbH,https://www.ttigroup.com,False,Bodenpflegeprodukte,Elektrowerkzeuge,Gartengeräte,,,,,,,Winnenden,70210.0,No Match,,
PREBENA Wilfried Bornemann GmbH & Co. KG,https://prebena.de,False,Befestigungsmittel,Druckluftnagler,Kompressoren,Automatisierte Fertigungsmaschinen,Druckluftnagler,Kompressoren,Automatisierte Fertigungen,Montagen,Verpackungen,Schotten,687561.0,10-15,10,3750
Bohle AG,https://www.bohle.com,False,Bademantelhaken,Handtuchhalter,Pullis,,,,,,,Haan,1167317.0,21-40,21,7875
TBi Industries GmbH,https://www.tbi-industries.com,False,Kühleinheiten,Schweißbrenner,Schweißhelme,,,,,,,Fernwald,629847.0,10-15,10,3750
ADGA - Adolf Gampper GmbH,https://adga.de/de/,False,Ausstattungen,Holzgliedermaßstäbe,Werbeflächen,,,,,,,Mainhardt,6858806.0,No Match,,
FREUND VICTORIA Gartengeräte GmbH,https://www.freund-victoria.de,False,Gartengeräte,Scheren,Werkzeuge,,,,,,,Schorndorf,352222.0,No Match,,
KS Tools Werkzeuge und Maschinen GmbH,https://www.kstools.com,False,Handwerkzeuge,KFZ-Spezialwerkzeuge,LKW-Spezialwerkzeuge,,,,,,,Heusenstamm,524197.0,10-15,10,3750
FRAISA GmbH Präzisionswerkzeuge,https://www.fraisa.com/de/,False,Bohrwerkzeuge,Fräswerkzeuge,Gewindewerkzeuge,Bohrmaschinen,Fräsmaschinen,Gewindebohrmaschinen,Bohren,Fräsen,Gewinde,Willich,2678761.0,120-200,120,45000
Bayerische Maß-Industrie,https://www.bmi.de/de/,False,Rahmen- / Kapselbandmaße,Taschenbandmaße,Wasserwaagen,,,,,,,Hersbruck,931251.0,21-40,21,7875
Makita Engineering Germany GmbH,https://www.makita-engineering.de,False,Akkuwerkzeuge,Elektrowerkzeuge,Handwerkzeuge,,,,,,,Hamburg,1719701.0,60-80,60,22500
SWM Werkzeugfabrik GmbH & Co. KG,https://www.werkzeugschmiede.de/de/,False,,,,,,,,,,Steinbach-Hallenberg,1340209.0,40-60,40,15000
Mesko-Pinsel GmbH,https://www.mesko.eu,False,Bürsten,Kunststoffprodukte,Pinsel,,,,,,,Wieseth,2857744.0,120-200,120,45000
Lessmann GmbH,https://www.lessmann.com,False,Industriebürsten,Streifenbürsten,Zubehör,,,,,,,Oettingen in Bayern,627369.0,10-15,10,3750
HÜRNER Schweisstechnik GmbH,https://www.huerner.de/de/,False,Heizwendelschweißtechniken,Schweißmaschinen,Stumpfschweißtechniken,Erodiermaschinen,Fräsmaschinen,Laserschneidmaschinen,Montagen,Schnitte,Schweißungen,Mücke,80777.0,No Match,,
"Wilhelm König, Maschinenbau GmbH",https://koenig-mtm.de,False,Hydraulische Spannsysteme,Mechanische Spannsysteme,Schnellwechselsysteme,,,,,,,Wertheim,2034766.0,80-120,80,30000
MHS Schneidetechnik GmbH,https://mhs-schneidetechnik.de/de/,False,Brotschneidemaschinen,Fleisch- & Mehrzweckschneider,Gebrauchtmaschinen,,,,,,,Abstatt,152844.0,No Match,,
Caisley International GmbH,https://www.caisley.de,False,Elektronische Identifizierungsmittel,Ohrmarken,Zubehörartikel,,,,Kunststoffspritzgüsse,Laserbeschriftungen,,Bocholt,2419495.0,80-120,80,30000
FELO-Werkzeugfabrik GmbH,https://www.felo.com,False,Bits,Schraubendreher,Zangen,,,,,,,Neustadt (Hessen),1579089.0,60-80,60,22500
Karl-Heinz Arnold GmbH,https://www.arno.de,False,Bohrwerkzeuge,Drehwerkzeuge,Fräswerkzeuge,Bohrmaschinen,Drehmaschinen,Fräsmaschinen,Bohrungen,Drehungen,Fräsungen,Ostfildern,2960141.0,120-200,120,45000
TRIUSO Qualitätswerkzeuge GmbH,https://www.triuso.de,False,Arbeitsbekleidungen,Schneeschieber,Werkzeuge,,,,,,,Buchbach,153461.0,No Match,,
Friedrich Duss,https://www.duss.com/de/,False,Bohrmaschinen,Diamantbohrmaschinen,Meisselhämmer,,,,,,,Neubulach,230347.0,No Match,,
Paul Maschinenfabrik GmbH & Co. KG,https://www.paul.eu,False,Kreissägemaschinen,Lagersysteme,Spannbeton-Techniken,,,,,,,Dürmentingen,814128.0,15-20,15,5625
BEHRINGER EISELE GmbH,https://www.behringer.net,False,Bandsägen,Kreissägen,Profilbearbeitungsmaschinen,Bandsägen,Kreissägen,Profilbearbeitungsmaschinen,Fräsen,Schleifen,Sägen,Weilheim an der Teck,29587.0,No Match,,
Probst GmbH,https://www.probst-handling.com,False,Baustellengeräte,Baustoffwerke,LKW-Kran-Anbaugeräte,,,,,,,Erdmannhausen,817759.0,15-20,15,5625
Jäkel GmbH & Co. KG,https://www.jaekel.eu,False,Messer,Veredelungen,Verschleißteile,,,,,,,Diemelstadt,203875.0,No Match,,
Starcke GmbH & Co. KG,https://www.starcke.de,False,Schleifbänder,Schleifmittel,Schleifscheiben,,,,Schleifen,,,Melle,6290840.0,No Match,,
Oregon Tool GmbH,https://www.oregonproducts.com,False,Führungsschienen,Kettensägen,Sägeschienen,,,,,,,Fellbach,738056.0,15-20,15,5625
Wiha Werkzeuge GmbH,https://www.wiha.com,False,Drehmomentschlüssel,Multitools,Schraubendreher,,,,,,,Schonach im Schwarzwald,3634213.0,120-200,120,45000
MAFELL AG,https://www.mafell.de,False,Bohren,Schleifen,Sägen,,,,,,,Oberndorf am Neckar,2472872.0,80-120,80,30000
HAZET-WERK,https://www.hazet.de/de/,False,Betriebseinrichtungen,Handwerkzeuge,Smart Serien,,,,,,,Remscheid,2343683.0,80-120,80,30000
Alfra GmbH,https://www.alfra.de,False,Hebetechniken,Metallbauten,Schaltschrankbauten,Bohrmaschinen,Magnettechniken,Stanzmaschinen,Bohren,Magnettechniken,Stanzen,Hockenheim,252474.0,No Match,,
Stanley Black & Decker Outdoor GmbH,https://www.mtdproducts.eu,False,Gartentraktoren,Kettensägen,Rasenmäher,,,,,,,Saarbrücken,2949082.0,120-200,120,45000
Jäcklin GmbH,https://www.air-end.de,False,Rotoren,Schraubenverdichter,Verdichterstufen,Drehmaschinen,Fräsmaschinen,Schleifmaschinen,Drehungen,Fräsungen,Schleifungen,Augsburg,1533687.0,60-80,60,22500
Philipp Hafner GmbH & Co. KG,https://www.hafner-philipp.de,False,Messnormteile,Sondermessmaschinen,Standardmessgeräte,,,,,,,Fellbach,654338.0,No Match,,
HPTec GmbH,https://www.bosch-pt.com/ww/,False,Gartengeräte,Werkzeuge,Werkzeugzubehör,,,,,,,Ravensburg,2089492.0,80-120,80,30000
