Company,Table,Machine_1,Machine_2,Machine_3
AIP GmbH & Co. KG,AKTIVA,505840,579223,
Gossen Metrawatt GmbH,AKTIVA,385486,391456,
FMB Feinwerk- und Meßtechnik GmbH,Aktiva,1059539,1298761,
Güntert Präzisionstechnik GmbH,Aktiva,3354108,3540736,
KETEK GmbH,Unknown Table,3275857,3023757,
EMH metering GmbH & Co. KG,AKTIVSEITE,7447726,6339714,
Anton Paar ProveTec GmbH,AKTIVA,315805,387283,
InfraTec GmbH,Aktiva,3288018,3805870,
MBS AG,Aktiva,1865322,2040912,
PTW-Freiburg Physikalisch- Technische,AKTIVA,1485775,1678,
YXLON International GmbH,Aktiva,2620948,2678865,
Kistler Remscheid GmbH,Aktiva,665252,844515,
MARTIN LOHSE GmbH,Aktiva,1094774,1199123,
LAUDA DR. R. WOBSER GMBH & CO. KG,AKTIVA,200555,236,
indurad GmbH,AKTIVA,99550,91157,
Hegewald & Peschke,Aktiva,271113,273019,
regelmatic GmbH,Aktiva,9569,16712,
Julabo GmbH,Aktiva,876975,1080371,
TCS TürControlSysteme AG,Aktiva,741700,774205,
tecsis GmbH,AKTIVA,663110,904088,
VETEC Ventiltechnik GmbH,"Speyer, 28. Januar 2022",2119817,2720900,
ASM Automation Sensorik Messtechnik GmbH,Aktiva,1530951,1475320,
RITZ Instrument Transformers GmbH,Aktiva,3798640,4597,
Electrovac Hacht und Huber,AKTIVA,4007947,3575665,
Scienta Omicron GmbH,AKTIVA,120564,124225,
DSA Daten- und Systemtechnik GmbH,Aktiva,118437,145737,
TE Connectivity Sensors Germany GmbH,AKTIVSEITE,5853634,8984730,
Konrad GmbH,Aktiva,94785,64591,
Feig Electronic GmbH,AKTIVA,3403897,3628745,
RENK Test System GmbH,Aktiva,252072,308,
ZERA GmbH,Aktiva,494842,312238,
Werth Messtechnik GmbH,Unknown Table,130280,119053,
Gebr. Tuxhorn GmbH & Co KG,Aktiva,582399,646467,
RMG Messtechnik GmbH,AKTIVA,276969,386407,
iba AG,Aktiva,859301,398716,
ACTIA IME GmbH,Aktiva,382361,979042,
Rechner Industrie-Elektronik GmbH,Unknown Table,2,90183,99633
Entegris GmbH,Aktiva,79665,107528,
Telemeter Electronic GmbH,Aktiva,117760,109351,
InnoSenT GmbH,AKTIVA,2107924,2054884,
ISRA SURFACE VISION GmbH,AKTIVSEITE,1,1,
Nass Magnet GmbH.,AKTIVA,2485058,1307041,
BST GmbH,Aktiva,114,56,
SPEA Systeme für professionelle,Aktiva,12,13,
adaptronic Prüftechnik GmbH,Aktiva,290321,277438,
Ernst Heitland GmbH & Co. KG,Aktiva,513080,626275,
Gesellschaft für Gerätebau mbH,Aktiva,238928,249246,
TOPTICA Photonics AG,AKTIVA,3110567,2792907,
Krüss GmbH,Aktiva,776544,788935,
Energie Mess- und Servicedienste GmbH,Aktiva,222766,255774,
STABILA Messgeräte Gustav Ullrich GmbH,AKTIVSEITE,3283084,2699549,
PLAST-CONTROL GMBH,Aktiva,12189,11118,
iris-GmbH infrared & intelligent sensors,Aktiva,1033915,1142,
Dr. Födisch Umweltmesstechnik AG,Aktiva,1298806,1262459,
Seba Hydrometrie Gmbh & Co. KG,Aktiva,65179,76922,
Arca Regler GmbH,"Im Bereich F&E hat die ARCA im Berichtsjahr weiterhin Projekte für intelligente Produkte, Anwendunge",1650293,1199546,
WIPOTEC GmbH,Aktiva,6734538,6545406,
Instrument Systems GmbH,Aktiva,2548549,2754582,
J. Klebs & Hartmann GmbH & Co KG,Aktiva,109854,108672,
Perrin GmbH,Aktiva,2413,1193,
Jetter AG,AKTIVA,280,383,
Life Safety Germany GmbH,AKTIVA,6224,18660,
SEMPELL GmbH,Aktiva,3290025,2654210,
Theben AG,AKTIVA,355721,452914,
Narda Safety Test Solutions GmbH,Aktiva,516652,559100,
ERWEKA GmbH,Aktiva,108022,121233,
Fertigungsgerätebau,Aktiva,1279996,1580282,
ST SPORTSERVICE GmbH,Aktiva,3952575,3104651,
FAFNIR GmbH,Aktiva,413746,305299,
Karl Deutsch Prüf- und Meßgerätebau,AKTIVA,68151,114,
StandexMeder Electronics GmbH,Aktiva,3202583,3418039,
Adolf Thies GmbH & Co. KG,AKTIVSEITE,1027990,1188097,
Gesellschaft für Sonder-EDV-Anlagen mbH,Aktiva,261241,117190,
tado GmbH,Aktiva,128705,102671,
SPECS Surface Nano Analysis GmbH,Aktivseite,756464,995882,
TR-ELECTRONIC GmbH,Aktiva,1225797,1448669,
topometric GmbH,AKTIVA,725792,615,
Temposonics GmbH & Co. KG,AKTIVA,1564418,1619627,
Minebea Intec GmbH,Aktiva,1068543,962373,
Hottinger Brüel & Kjaer GmbH,Aktiva,4606596,5036214,
Engelmann Sensor GmbH,Aktiva,703077,767391,
DILAX Intelcom GmbH,AKTIVA,729,3,
Eugen Fahrion GmbH & Co. KG,Das Investitionsvolumen in immaterielle Vermögensgegenstände und Sachanlagevermögen betrug T€ 1.240 ,251,,
Barksdale GmbH,AKTIVA,2296,3106,
Z - Laser Optoelektronik GmbH,Aktiva,568804,631971,
SPECTRO Analytical Instruments GmbH,Unknown Table,2,91701,80096
EXPERT-TÜNKERS GmbH,Aktiva,1185546,1248431,
Ecolab Engineering GmbH,Aktiva,1052002,850269,
Hans Sasserath GmbH & Co. KG,AKTIVA,292365,286075,
Spirax Sarco GmbH Regelapparate,Aktiva,216676,157,
robatherm GmbH & Co. KG,Unknown Table,5105292,4851277,
Bruker Nano GmbH,Aktiva,1943016,1729678,
LAMTEC Meß- und Regeltechnik,Aktiva,205499,41862,
Günther GmbH Temperaturmesstechnik,Aktiva,420854,463335,
Miltenyi Imaging GmbH,AKTIVA,72453,99,
X-Rite GmbH,Aktiva,9853,1112,
Mitutoyo Deutschland GmbH,Aktiva,74793,69213,
GÖTTFERT Werkstoff-Prüfmaschinen GmbH,Aktiva,320614,397013,
Langer GmbH & Co. KG,Aktiva,1103299,1112733,
H. Heinz Meßwiderstände GmbH,Aktiva,1544941,1436559,
AMEPA Angewandte Meßtechnik,AKTIVA,448468,405159,
IMS Messsysteme GmbH,Aktiva,41396,18779,
ATN Hölzel GmbH,Aktiva,1680,2873,
Airtec Pneumatic GmbH,AKTIVA,1394491,1616124,
BARTEC BENKE GmbH,Aktiva,117908,85409,
Keysight Technologies Deutschland GmbH,AKTIVA,16511767,14904017,
Zwick Armaturen GmbH,Unknown Table,1787701,703029,
Precitec GmbH & Co. KG,Aktiva,670138,460352,
IDENTA Ausweissysteme GmbH,Aktiva,615239,532753,
VMT GmbH,Aktiva,956781,700082,
Plasticard-ZFT GmbH & Co. KG,Aktiva,932694,829149,
Trimble Germany GmbH,Aktiva,18105,22125,
Sikora AG,Aktiva,64254,77,
NIVUS GmbH,Aktiva,59613,63120,
Rössel-Messtechnik GmbH,Aktiva,274006,294186,
MRU - Messgeräte für Rauchgase und,Aktiva,184561,103062,
Wöhler Technik GmbH,Aktiva,876971,1105856,
Jaudt Dosiertechnik Maschinenfabrik GmbH,Aktiva,796657,722567,
ARMANO Messtechnik GmbH,AKTIVA,2234770,2003660,
Orben Wasseraufbereitung GmbH & Co. KG,Aktiva,259787,328873,
CTS GmbH,Aktiva,117191,18725,
microsonic GmbH,AKTIVA,7571,9613,
Schlaeger M-Tech GmbH,Aktiva,52033,58277,
AMETEK CTS Europe GmbH,AKTIVA,892992,912582,
Discovergy GmbH,Aktiva,327382,70000,
Feinwerktechnik Otto Harrandt GmbH,Die Zugänge in das Anlagevermögen beliefen sich im Geschäftsjahr 2021 auf einen Wert von TEUR 1.460 ,806,,
SWARCO Traffic Systems GmbH,AKTIVA,599,548,
Balcke-Dürr GmbH,Aktiva,533065,696212,
DIATEST Hermann Költgen GmbH,Aktiva,2113705,2198342,
F.H. Papenmeier GmbH & Co. KG,Aktiva,256218,106786,
REMBE GmbH Safety + Control,Aktiva,2537665,2472472,
MCD-Elektronik GmbH,Aktiva,12158,3876,
BIT Analytical Instruments GmbH,Aktiva,97653,87532,
PN Detector GmbH,AKTIVA,1211458,518444,
Richter Chemie-Technik GmbH,Aktiva,5337118,4685,
W. v. d. Heyde GmbH,Aktiva,97681,112960,
M&C TechGroup Germany GmbH,AKTIVA,767997,189110,
Fluke Process Instruments GmbH,AKTIVA,183456,241,
Dittel Messtechnik GmbH,AKTIVA,466470,566936,
LEWA GmbH,Aktiva,4350068,5063395,
AVL Analytical Technologies GmbH,AKTIVA,23453,29097,
