Company,Table,Machine_1,Machine_2,Machine_3
Westfalia-Automotive GmbH,Aktiva,5567305,1930,
LISI AUTOMOTIVE Mecano GmbH,Aktiva,2689907,3268981,
August Storm GmbH & Co. KG,Aktiva,1196751,1232680,
REBO Lighting & Electronics GmbH,AKTIVA,9577946,8885686,
F. Hesterberg & Söhne GmbH & Co. KG,(5) Persönlich haftende Gesellschafterin,84925,111523,
NIFCO Germany GmbH,Aktiva,12356102,8799211,
Knott GmbH,Aktiva,2350931,2464640,
Palas GmbH,AKTIVA,887832,611479,
Paul Kauth GmbH & Co. KG,Aktiva,6634075,5358,
Jäger Gummi und Kunststoff GmbH,Aktiva,152,1026,
KBE Elektrotechnik GmbH,Aktiva,1482957,1567112,
Dr. Freist Automotive Bielefeld GmbH,3. Ertragslage Die Ertragslage der Dr. Freist Automotive Bielefeld GmbH stellt sich im zwölften Ge­s,2925698,6620797,
Alhorn GmbH & Co. KG,IV. Gesonderte Angaben gem. § 327 Abs. 1 Nr. 1 HGB,43786,9196,
Franken Guss GmbH & Co. KG,AKTIVSEITE,7640035,6088578,
HEWI G. Winker GmbH & Co. KG,Aktiva,8649179,6560729,
Modine Neuenkirchen GmbH,Aktiva,2980991,2949772,
Hubert Schlieckmann GmbH,Aktiva,457293,407467,
TR Plast GmbH,AKTIVA,409743,133066,
LISI Automotive Knipping,Aktiva,2,5324899,5528481
PMA/TOOLS AG,AKTIVA,442580,440,
I.G. Bauerhin GmbH,Aktiva,2064927,3306145,
Martin Stanz- und Umformtechnik GmbH,AKTIVA,228508,290,
SMARTRAC Specialty GmbH,Aktiva,3189300,3119188,
NAF Neunkirchener Achsenfabrik AG,Aktiva,3519569,2221726,
AVO Carbon Germany GmbH,Aktiva,3421298,2693585,
RMA-TSK-Kunststoffsysteme GmbH & Co KG,Aktiva,687673,849572,
GEDIA Gebrüder Dingerkus GmbH,AKTIVSEITE,24202410,25090867,
Gummi- u. Kunststoffwerk G. Schönek,Die Inanspruchnahmewahrscheinlichkeit der unter der Bilanz ausgewiesenen Haftungsverhältnisse aus de,1098043,1117940,
Bergmann Automotive GmbH,Aktiva,5492032,6583647,
Innomotive Systems Hainichen GmbH,Aktiva,18160274,,
XBond GmbH & Co. KG,Aktiva,520080,755529,
HS-Schoch GmbH,Aktiva,2475984,2846946,
Oetiker Deutschland GmbH,A k t i v a,2962098,2393185,
Walter Automobiltechnik GmbH,Aktiva,10536042,11581611,
Arkal Automotive GmbH,AKTIVA,7617717,8443645,
Kasai (Germany) GmbH,Aktiva,140322,222410,
Maincor Rohrsysteme GmbH & Co. KG,AKTIVA,9818372,8648961,
SOGEFI HD SUSPENSIONS Germany GmbH,AKTIVA,11747466,12586579,
Lydall Gerhardi GmbH & Co. KG,Aktiva,9254145,10397045,
Thun Automotive GmbH,Aktiva,2837919,4246940,
Thule GmbH,Aktiva,3216928,2768247,
Alux-Luxar GmbH & Co. KG,AKTIVA,107384,782699,
DMB Metallverarbeitung GmbH,Unknown Table,1369875,1682043,
CMC Klebetechnik GmbH,Aktiva,312141,376435,
DELVIS GmbH,AKTIVA,10232,3437,
FLABEG Automotive Group GmbH,AKTIVA,65995,80649,
Hanns Glass GmbH & Co. KG,AKTIVA,2071440,2361786,
Karl Etzel GmbH,AKTIVA,6978787,4452033,
INNO FRICTION GmbH,Aktiva,5988981,5881851,
MVO GmbH,Aktiva,11752254,13829728,
Henniges Automotive GmbH & Co. KG,Aktiva,15342984,7951457,
Gentherm GmbH,Aktiva,2517740,2416943,
P.C.S. Precision Works Germany GmbH,Aktiva,913785,1746543,
Erich Jaeger GmbH + Co. KG,AKTIVA,14100,21948,
KAMEI GmbH & Co. KG,AKTIVA,654646,744987,
Schieffer GmbH & Co. KG,Die gesamte Zulieferindustrie befindet sich weiterhin in einem massiven Transformationsprozess. Davo,2753210,3276192,
Otto Vollmann GmbH & Co KG,Aktiva,1257560,1529,
Jifeng Automotive Interior GmbH,Aktivseite,215938,,
WAFA Germany GmbH,Aktiva,941619,2093769,
Guardian Flachglas GmbH,Aktiva,39718399,42991541,
Grüner Systemtechnik GmbH & Co. KG,Aktiva,17743205,21623856,
Accuride Wheels Ebersbach GmbH,Aktivseite,4997,6921,
Feinmetall GmbH,Aktiva,1293839,1186215,
Dr. Freist Automotive GmbH,Aktiva,8018161,9824340,
Weber GmbH & Co. KG,AKTIVA,3533965,3547,
KOKI TECHNIK,Aktiva,5317969,12303495,
PE Automotive GmbH & Co. KG,Aktiva,55122,55735,
DENSO AUTOMOTIVE Deutschland GmbH,Aktiva,7563534,8908,
SKF ECONOMOS Deutschland GmbH,AKTIVA,772683,942568,
Haldex GmbH,Aktiva,731657,981784,
NOFFZ Technologies GmbH,Aktiva,67698,29226,
RaceChip Chiptuning GmbH & Co KG,AKTIVA,236395,285106,
paragon semvox GmbH,AKTIVA,1,224,326
Metallwerk Biebighäuser GmbH,AKTIVA,1842430,2158988,
HMT Heldener Metalltechnik GmbH & Co. KG,AKTIVA,4637365,4197448,
Alutrim Europe GmbH,Aktiva,3132156,3101450,
ETO MAGNETIC GmbH,Aktiva,22662358,18662703,
Otto Zimmermann Maschinen-,Aktiva,9449542,6653614,
Gubesch GmbH,Aktiva,325835,331808,
ATERA GmbH,Aktiva,113258,50874,
OKE Group GmbH,AKTIVA,63397,,
Schürholz GmbH & Co. KG Stanztechnik,Aktivseite,5715400,2631460,
Jokon GmbH,Aktiva,711305,628595,
L. Schaible GmbH & Co. KG,AKTIVA,1383949,1890,
Elektro-Metall Export GmbH,AKTIVSEITE,492147,458,
MD Elektronik GmbH,AKTIVA,5238285,3711645,
KMS Gesenkschmiede GmbH,AKTIVA,193675,5528,
Magna Mirrors Schleiz GmbH,Aktiva,771828,854,
Ibeo Automotive Systems GmbH,Aktiva,771794,1014825,
Bäringhaus & Hunger GmbH,Aktiva,1902728,2452431,
CP Tech GmbH,AKTIVA,1002718,729680,
FKT GmbH,AKTIVA,906690,776790,
Alfred Heyd GmbH u. Co. KG,AKTIVA,2249190,1496566,
McGard Deutschland GmbH,Aktiva,3518005,3954099,
Sika Automotive Frankfurt-Worms GmbH,Aktiva,7691701,8442741,
ViGEM GmbH,Aktiva,75163,97821,
Dichtungstechnik Wallstabe & Schneider,AKTIVA,11346447,8747813,
RSG Elotech,Aktiva,4015172,4325369,
Sedlmayer GmbH,Aktiva,6918708,7334540,
Timken GmbH,AKTIVSEITE,1,1,
Nobo Automotive Systems Germany GmbH,Aktiva,6345922,7930389,
Gates GmbH,Aktiva,53353,235814,
ELDISY GmbH,AKTIVA,5162453,2843,
Brembo SGL Carbon Ceramic Brakes GmbH,Aktiva,25822741,28214726,
Wilhelm Kächele GmbH,AKTIVA,9903502,12848,
Rhodius GmbH,"Weitere Vorgänge von besonderer Bedeutung nach Ende des Geschäftsjahres, über die an dieser Stelle z",5692335,6418794,
iwis smart connect GmbH,AKTIVA,8843442,6646978,
ROWA Friedrich Rothmund GmbH & Co. KG,Aktiva,502716,679336,
MFT Motoren und Fahrzeugtechnik GmbH,AKTIVA,6538757,7451781,
Ruhrtaler Gesenkschmiede,AKTIVA,2235969,2574613,
C+M Utescheny Spritzgießtechnik GmbH,Aktiva,2406084,2351045,
KDK Automotive GmbH,AKTIVA,1874321,2386915,
Boryszew Kunststofftechnik,Aktiva,7643608,4501,
LISI AUTOMOTIVE KKP GmbH & Co. KG,Aktiva,6182091,6926449,
Hör Technologie GmbH,AKTIVA,3736319,4404144,
Metallgießerei Schüle GmbH,Aktiva,2818731,3086132,
PARAVAN GmbH,Aktiva,480076,365915,
Auto Heinen GmbH,Aktiva,539005,4958273,
Neuman Aluminium Fließpresswerk GmbH,Aktiva,2143561,2289104,
BJ Automotive GmbH,Aktiva,45640,34246,
GEBRA GmbH & Co.,Aktiva,740401,723741,
MA AUTOMOTIVE DEUTSCHLAND GmbH,Die Investitionen in das Sachanlagevermögen im Geschäftsjahr 2021 belaufen sich auf TEUR 18.967 (Vor,2876,,
IZOBLOK GmbH,Aktiva,2452456,2169097,
International Automotive Components,Aktiva,10376,11224,
Hehnke GmbH & Co. KG,AKTIVA,3371942,3743399,
Kohl Automotive GmbH,AKTIVA,2207952,2409399,
ALCAR DEUTSCHLAND GMBH,Aktiva,116758,119351,
Hörauf & Kohler GmbH,Bezüglich Erläuterungen zum Umsatz verweisen wir auf die Ausführungen in Punkt 2.2.1. Das Betriebser,97817,139377,
MHG Fahrzeugtechnik GmbH,Aktiva,2601112,2614049,
SCHROTH Safety Products GmbH,Aktiva,276432,358174,
VOIT Automotive GmbH,Aktiva,39325970,36196305,37254548
U-Shin Deutschland GmbH,Aktiva,3740977,4262435,
Hewa Leder GmbH,Aktiva,2919968,3241306,
Schuster Kunststofftechnik GmbH,Aktiva,1632995,1972981,
BOA Metal Solutions GmbH,AKTIVA,3168577,3879,
IMR Deutschland GmbH,Aktiva,2486815,2759188,
AZ Ausrüstung und Zubehör,Aktiva,1779571,862,
Rudolf Rafflenbeul Stahlwarenfabrik,AKTIVA,477085,615637,
COEXAL GmbH,Aktiva,2690141,2280279,
Federal-Mogul Bremsbelag GmbH,Aktiva,12046121,13374068,
Trucktec Automotive GmbH,AKTIVA,107985,118607,
Sensata Technologies GmbH,Aktiva,218031,310582,
Valeo Thermal Commercial Vehicles,Aktiva,862867,879,
Ascorium GmbH,Aktiva,763351,809379,
HELBAKO GmbH,Die Eckgrößen des Kapitalflusses stellen sich folgendermaßen dar:,1510791,1616939,
OBD Precision GmbH,Aktiva,2915303,4666481,
ABT Sportsline GmbH,AKTIVA,221715,206974,
Wagon Automotive Nagold GmbH,Aktiva,74687619,87074,
ACPS Automotive GmbH,Aktiva,7165371,5858074,
Kurt Erxleben GmbH & Co. KG,AKTIVA,36971,52276,
Optibelt GmbH,AKTIVA,201799,43430,
Hermann Schnierle GmbH,Aktiva,239898,251720,
Ortrander Eisenhütte GmbH,Aktiva,3982450,4365284,
Gersfelder Metallwaren GmbH,Aktiva,1928191,1381720,
J & S GmbH Automotive Technology,Aktiva,5384578,5725,
FEUER powertrain GmbH & Co. KG,Aktiva,45535655,52615314,
Dieter Braun GmbH,Aktiva,472995,494335,
FELSOMAT GmbH & Co. KG,AKTIVA,1654511,1985,
Accuride Wheels Solingen GmbH,Aktivseite,11568,13384,
Magna Car Top Systems GmbH,Aktiva,274317,348428,
H+E Molding Solutions GmbH,Aktiva,455158,557802,
Baumgarten GmbH,Aktiva,1,1,
Thermal Management Solutions,AKTIVSEITE,1537035,,
AET - Auto-Ersatzteile-Großhandel GmbH,Aktiva,30283,25989,
Sonplas GmbH Planung Montage,AKTIVA,1341100,944061,
Franz Kiel GmbH,Aktiva,239589,264998,
Hi-Lex Europe GmbH,Unknown Table,1051368,744797,
Magna Spiegelsysteme GmbH,Aktiva,7411477,6740997,
PEINER Umformtechnik GmbH,AKTIVA,85673,93288,
smk systeme metall kunststoff,AKTIVA,11330156,13057406,
BFG Feinguss GmbH,"BFG Feinguss Niederrhein GmbH, Moers Anhang für das Geschäftsjahr 2020 (1) Allgemeine Angaben Die Ge",540384,338927,
Cohline GmbH Schlauchleitungssysteme,Aktiva,2003129,3327,
Umicore Galvanotechnik GmbH,Aktiva,4328,3891,
ModellTechnik Rapid Prototyping GmbH,Aktiva,2324138,3020655,
Musashi Luechow GmbH,Aktiva,3760663,4224285,
Danfoss Silicon Power GmbH,Aktiva,21259555,10840607,
FORMTEIL- UND SCHRAUBENWERK,AKTIVSEITE,8511884,8058041,
JOPP Holding GmbH,Aktiva,41065,45932,
FUBA Automotive Electronics GmbH,AKTIVA,1777154,3643,
Werner Gießler GmbH,Aktiva,3088654,3253216,
Geiger Automotive GmbH,Aktiva,12499944,13339,
Huber Automotive AG,Aktiva,1931847,1385314,
Polymer-Technik Elbe GmbH,Aktiva,11331073,11517831,
Umformtechnik Crimmitschau GmbH,AKTIVA,1992154,2481939,
O & K Antriebstechnik GmbH,Aktiva,3921997,4898787,
Halung AG,Unknown Table,903470,610659,
Steinkamp Maschinenbau,Aktiva,439443,594,
Adient Metal Forming Technologies GmbH,Aktiva,254203,,
cellcentric GmbH & Co. KG,AKTIVA,7346085,5021745,
Finova Feinschneidtechnik GmbH,AKTIVA,3089350,3710147,
Novares Löhne GmbH,AKTIVA,2172529,2666450,
FICOSA INTERNATIONAL GmbH,Aktiva,1442762,1773,
P. C. Turck,Aktiva,2397340,2351234,
BHC Gummi-Metall GmbH,AKTIVA,2959221,2773,
Oberaigner Automotive GmbH,Unknown Table,18528,21692,
Schmiedetechnik Plettenberg,AKTIVA,10180044,5440763,
BRUSS Werk Brieselang GmbH & Co. KG,AKTIVA,199223,233431,
BING Power Systems GmbH,AKTIVA,202698,577,
Beutlhauser GmbH & Co. KG,AKTIVA,3116434,3026911,
PPG Hemmelrath Lackfabrik GmbH,Aktiva,5286599,6207484,
Global Safety Textiles GmbH,Aktiva,1083971,1530,
FEW Fahrzeugelektrik Werk GmbH & Co. KG,Aktiva,868215,958737,
IHI Charging Systems International GmbH,Unknown Table,1853903,2364307,
Molex Elektronik GmbH,Aktiva,253745,363,
APCB Automotive Plastic Components,Aktiva,5655,,
Wildauer Schmiede- und,Aktiva,2452546,3632773,
Suroflex GmbH,Aktivseite,1892386,2244,
SCHRAMM Coatings GmbH,A k t i v a,1771488,1849163,
Ernst-Apparatebau GmbH,AKTIVA,2,2,
EMS Elektromechanische,AKTIVA,1040910,1026607,
BREMSKERL REIBBELAGWERKE,Aktiva,4000452,4327,
Carl Wilhelm Cleff GmbH & Co. KG,Aktiva,342836,353988,
Prinz & Co. GmbH Stahlrohre,Aktiva,1385376,1059669,
Happich GmbH,1. Geschäfts- und Rahmenbedingungen 1.1 Gegenstand des Unternehmens Die Happich GmbH ist Produktentw,332099,283607,
Jörg Vogelsang GmbH & Co. KG,Aktiva,4322601,4399,
Maxion Wheels Werke GmbH,Aktiva,13314782,14191,
BEDIA Motorentechnik GmbH & Co. KG,Die Abschreibungen des Geschäftsjahres 2021 betrugen bei:,95636,,
Stöferle GmbH,AKTIVA,7657103,7744603,
Hagl GmbH,Aktiva,4657695,5197691,
Richard Fritz Holding GmbH,Aktiva,1975578,2393,
Eisenwerk Hasenclever & Sohn GmbH,Aktiva,8800203,9642,
Sand Profile GmbH,Aktiva,222288,348187,
Finow Automotive GmbH,Aktivseite,5735649,5989513,
Proseat GmbH & Co. KG,Aktiva,1492099,1693041,
Minda Schenk Plastic Solutions GmbH,AKTIVA,4018056,3900626,
Sonnplast GmbH,Aktiva,2103592,2173069,
Kunststoff Helmbrechts AG,AKTIVA,3574541,3790,
Batal Präzisionswellen GmbH,Aktiva,3778375,4509328,
Neapco Europe GmbH,AKTIVA,20091674,23757,
IDH Anlagenbau und Montage GmbH,Aktiva,532113,616367,
müller co-ax ag,Aktiva,2053133,2449948,
Hörmann Automotive Gustavsburg GmbH,AKTIVA,11385231,13264288,
MicroFuzzy Industrie-Elektronic GmbH,Aktiva,30126,42240,
ETG ELASTOMER-TECHNIK GEDERN GmbH,Aktiva,2573955,1889213,
VCST Reichenbach GmbH,Aktiva,459457,545,
AL-KO Technology Paderborn GmbH,Aktiva,119853,146,
WALOR Vöhrenbach GmbH,Bilanzstruktur:,3356002,4178672,
Eissmann Automotive Deutschland GmbH,Aktiva,477670,591317,
FEP Fahrzeugelektrik Pirna GmbH & Co. KG,AKTIVA,12683363,14031718,
ETM Engineering,Aktiva,8772267,7749,
Metaldyne GmbH,Aktiva,8795737,6569,
Melexis GmbH,Aktiva,7529247,9065586,
Meleghy Automotive GmbH & Co. KG,AKTIVA,9509234,1643349,
LWB Steinl GmbH & Co. KG,Gesonderte Angaben gem. § 327 S. 2 HGB,340,471,
Läpple Automotive GmbH,Aktiva,72698248,54339069,
Lemförder Electronic GmbH,Aktiva,4646958,5257,
Sinterwerke Herne GmbH,Aktiva,3156165,3725279,
SYNTEKS Umformtechnik GmbH,Aktiva,8266859,8924,
Wolverine Advanced Materials GmbH,AKTIVA,1841519,1257181,
Ravensberger Schmierstoffvertrieb GmbH,Aktiva,731645,502007,
Bharat Forge Aluminiumtechnik GmbH,AKTIVA,46384349,23627138,
Gebr. Binder GmbH Metallwarenfabrik,Aktiva,5005521,6376735,
Konvekta Aktiengesellschaft,Aktiva,139509,167517,
Casco Schoeller GmbH,Aktiva,186453,221267,
Kauth Finnentrop GmbH & Co KG,AKTIVA,3795190,3967,
KHT Fahrzeugteile GmbH,AKTIVA,1111276,1793,
Karosseriewerke Dresden GmbH,Aktiva,8881089,10922067,
Gerdes GmbH,AKTIVA,265277,423834,
Drexler Automotive GmbH,Aktiva,2075338,1663169,
Kromberg & Schubert GmbH & Co. KG,Aktiva,1304828,1568107,
Umformtechnik Radebeul GmbH,AKTIVA,902461,1122,
Cotarko GmbH,,18839547,18206764,
MSSC AHLE GmbH,Aktiva,3040727,3593132,
AGA Zerspanungstechnik Gera GmbH,Aktiva,5778090,5359073,
Molex CVS Dabendorf GmbH,AKTIVSEITE,9643447,9858,
GTG Gummitechnik,Aktiva,2436845,1662706,
helag-electronic GmbH,AKTIVA,1338185,2585987,
odelo GmbH,Aktivseite,12242,1114186,
Megatech Industries Deutschland GmbH,Aktiva,3692991,4601404,
JOYSONQUIN Automotive Systems GmbH,Aktiva,3993417,3294398,
WKW Aktiengesellschaft,AKTIVA,16380,16319,
Diewe Wheels GmbH,Aktiva,200948,198466,
Ricardo GmbH,Aktivseite,59,,
allsafe GmbH & Co. KG,Aktiva,3463474,5838454,
MT Technologies GmbH,AKTIVA,4269298,4745608,
CCM Compressor & Components,Aktiva,338657,355422,
Autoneum Germany GmbH,Aktiva,8129795,9589304,
HEPU Autoteile GmbH,Aktiva,763997,346297,
BAP Boysen Abgassysteme Plauen GmbH Co. & KG,A K T I V A,13133943,12736009,
Siebenhaar Antriebstechnik GmbH,AKTIVSEITE,2496481,3210534,
Litens Automotive GmbH & Co. KG,Aktiva,7074689,6431315,
STEMA Metalleichtbau GmbH,AKTIVA,2494731,2828,
SEEGER ORBIS GmbH,A K T I V A,5136612,4025992,
NTN Antriebstechnik GmbH,Aktiva,13908906,16355856,
Schweikert GmbH,Aktiva,429057,467753,
High Precision Components Witten GmbH,Aktiva,4609536,3099490,
Komax Testing Germany GmbH,Aktiva,150315,168932,
MöllerTech Thüringen GmbH,Aktiva,439885,634,
TuP GmbH,Aktiva,230037,391586,
Hitachi Astemo Aftermarket Germany GmbH,Aktiva,518124,506516,
SchmitterGroup GmbH,Aktiva,2081513,1715048,
Mühlhoff Umformtechnik GmbH,Aktiva,10738996,2699678,
Langen CNC Metalltechnik GmbH & Co. KG,Aktiva,305124,279213,
Musashi Hann. Muenden Machining GmbH & Co. KG,Aktiva,1832098,2679804,
