company name,Technische Anlagen Start,Technische Anlagen End,Sachanlagen Start,Sachanlagen End,Start Date,End Date,Note
Mogatec GmbH,"4.164.958,90","2.678.949,68","14.078.561,37","10.847.943,07",01.01.2021,31.12.2021,bundesanzeiger_local_data/Mogatec_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
HOSCH Fördertechnik Recklinghausen GmbH,"93.974,49","102.983,96","872.052,79","771.989,80",01.01.2021,31.12.2021,bundesanzeiger_local_data/HOSCH_Foerdertechnik_Recklinghausen_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Hartmetall-Werkzeugfabrik Paul Horn GmbH,"18.636.469,42",22.751,"94.628.665,61",103.118,01.01.2021,31.12.2021,bundesanzeiger_local_data/Hartmetall-Werkzeugfabrik_Paul_Horn_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Makita Engineering Germany GmbH,"1.719.701,00","1.676.124,00","63.152.265,91","45.045.042,60",01.04.2021,31.03.2022,bundesanzeiger_local_data/Makita_Engineering_Germany_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.04.2021_bis_zum_31.03.2022
Jäcklin GmbH,"1.458.608,50","1.533.687,50","1.736.440,00","1.739.519,50",01.01.2021,31.12.2021,bundesanzeiger_local_data/Jaecklin_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
TBi Industries GmbH,"629.847,68","582.518,50","19.965.362,58","16.119.752,71",01.01.2021,31.12.2021,bundesanzeiger_local_data/TBi_Industries_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
OTEC Präzisionsfinish GmbH,"2.600.234,56","2.004.994,73","3.282.413,29","2.718.514,68",01.01.2021,31.12.2021,bundesanzeiger_local_data/OTEC_Praezisionsfinish_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Altendorf GmbH,NA,NA,"82.316,00","147.685,00",01.01.2021,31.12.2021,bundesanzeiger_local_data/Altendorf_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Albert Kerbl GmbH,"2.534.202,39","2.329.860,15","6.303.506,69","5.644.007,70",01.01.2021,31.12.2021,bundesanzeiger_local_data/Albert_Kerbl_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Zecha Hartmetallwerkzeugfabrikation GmbH,"1.183.415,00","30.803,50","1.764.065,94","601.860,50",01.01.2016,31.12.2016,bundesanzeiger_local_data/Zecha_Hartmetallwerkzeugfabrikation_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2016_bis_zum_31.12.2016
Wilhelm König Maschinenbau GmbH,"2.034.766,00","1.995.973,00","3.259.342,00","2.997.077,00",01.01.2021,31.12.2021,bundesanzeiger_local_data/Wilhelm_Koenig_Maschinenbau_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Elektrowerkzeuge GmbH Eibenstock,"3.496.509,50","2.753.709,50","11.770.533,55","11.236.039,38",01.01.2021,31.12.2021,bundesanzeiger_local_data/Elektrowerkzeuge_GmbH_Eibenstock/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Krebs & Riedel Schleifscheibenfabrik,"3.183.091,50","2.821.082,00","6.176.000,82","6.009.659,03",01.01.2021,31.12.2021,bundesanzeiger_local_data/Krebs_and_Riedel_Schleifscheibenfabrik/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Altrad Lescha Atika GmbH,"210.143,50","234.316,50","933.460,85","1.005.068,85",01.09.2020,31.08.2021,bundesanzeiger_local_data/Altrad_Lescha_Atika_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.09.2020_bis_zum_31.08.2021
Lessmann GmbH,NA,NA,"332.201,12","359.551,52",01.01.2021,31.12.2021,bundesanzeiger_local_data/Lessmann_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
DALEX GmbH & Co. KG,"306.829,00","357.774,00","814.674,00","798.996,44",01.01.2020,31.12.2020,bundesanzeiger_local_data/DALEX_GmbH_and_Co._KG/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2020_bis_zum_31.12.2020
SOLO Kleinmotoren GmbH,"53.298,00","71.684,00","1.845.464,05","2.099.795,97",01.08.2019,31.07.2020,bundesanzeiger_local_data/SOLO_Kleinmotoren_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.08.2019_bis_zum_31.07.2020
Steinbach & Vollmann GmbH,"157.546,16","233.232,16","1.842.028,36","1.675.761,57",01.01.2021,31.12.2021,bundesanzeiger_local_data/Steinbach_and_Vollmann_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
MHS Schneidetechnik GmbH,"122.559,00","152.844,00","737.615,00","756.023,00",01.01.2021,31.12.2021,bundesanzeiger_local_data/MHS_Schneidetechnik_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Robert Röntgen GmbH & Co. KG.,"6.082.392,08","7.377.261,69","15.234.466,79","14.991.111,78",31.12.2021,31.12.2020,bundesanzeiger_local_data/Robert_Roentgen_GmbH_and_Co._KG./Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Caisley International GmbH,"2.419.495,50","1.953.403,00","8.654.123,36","6.892.432,86",01.10.2021,30.09.2022,bundesanzeiger_local_data/Caisley_International_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.10.2021_bis_zum_30.09.2022
J. König GmbH & Co. Werkzeugfabrik,"761.169,00","805.250,00","7.294.978,45","7.419.722,66",01.01.2021,31.12.2021,bundesanzeiger_local_data/J._Koenig_GmbH_and_Co._Werkzeugfabrik/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Ruwac Industriesauger GmbH,"772.093,03",615,"1.760.929,51",1.738,31.12.2021,31.12.2020,bundesanzeiger_local_data/Ruwac_Industriesauger_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Rhodius Schleifwerkzeuge GmbH & Co. KG,NA,NA,NA,NA,-,-,
Bernhardt & Schulte GmbH & Co. KG,NA,NA,"1.735.434,53","1.873.053,90",01.01.2021,31.12.2021,bundesanzeiger_local_data/Bernhardt_and_Schulte_GmbH_and_Co._KG/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Weisskopf Werkzeuge GmbH,"2.527.258,00","3.149.821,00","4.235.371,60","4.492.253,10",01.01.2014,31.12.2014,bundesanzeiger_local_data/Weisskopf_Werkzeuge_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2014_bis_zum_31.12.2014
TKM Meyer GmbH,NA,NA,NA,NA,-,-,
Heller Tools GmbH,"1.844.253,69","1.840.625,00","5.380.457,55","2.700.136,64",01.01.2021,31.12.2021,bundesanzeiger_local_data/Heller_Tools_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Beissbarth GmbH,NA,NA,"48.784,00","47.195,00",01.11.2021,31.10.2022,bundesanzeiger_local_data/Beissbarth_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.11.2021_bis_zum_31.10.2022
Hofmann & Vratny OHG,NA,NA,NA,NA,-,-,
Ruko GmbH Präzisionswerkzeuge,NA,NA,NA,NA,-,-,
C.O. Weise GmbH & Co. KG,NA,NA,"4.703,00","5.677,00",01.01.2021,31.12.2021,bundesanzeiger_local_data/C.O._Weise_GmbH_and_Co._KG/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
FELO-Werkzeugfabrik GmbH,"1.579.089,00","1.216.529,00","4.567.370,44","2.703.985,78",01.01.2018,31.12.2018,bundesanzeiger_local_data/FELO-Werkzeugfabrik_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2018_bis_zum_31.12.2018
wolfcraft GmbH,"1.882.671,00","1.648.529,00","9.125.907,27","6.540.720,26",01.01.2021,31.12.2021,bundesanzeiger_local_data/wolfcraft_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Adolf Telsnig e.K.,NA,NA,NA,NA,-,-,
FLEX-Elektrowerkzeuge GmbH,"1.132.887,36","1.255.576,45","4.305.245,02","4.226.182,51",01.10.2013,31.12.2013,bundesanzeiger_local_data/FLEX-Elektrowerkzeuge_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.10.2013_bis_zum_31.12.2013
ELORA Werkzeugfabrik GmbH,188.,5.,"753.186,27","818.754,81",01.01.2021,31.12.2021,bundesanzeiger_local_data/ELORA_Werkzeugfabrik_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Bayerische Maß-Industrie,"780.448,00","931.251,00",1.433.132,1.438.293,01.01.2021,31.12.2021,bundesanzeiger_local_data/Bayerische_Mass-Industrie/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
SNA Germany GmbH,NA,NA,"2.909.337,83","92.048,78",01.01.2021,31.12.2021,bundesanzeiger_local_data/SNA_Germany_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Günter Effgen GmbH,"2.411.494,50","1.999.310,50","5.424.080,75","4.824.625,39",01.01.2019,31.12.2019,bundesanzeiger_local_data/Guenter_Effgen_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2019_bis_zum_31.12.2019
Maschinenfabrik Wagner GmbH & Co. KG,"64.179,00","64.231,50","1.129.643,06","1.149.814,39",01.01.2021,31.12.2021,bundesanzeiger_local_data/Maschinenfabrik_Wagner_GmbH_and_Co._KG/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
falch gmbh,"4.299.754,65","4.640.365,34","8.270.016,98","9.018.592,72",01.01.2021,31.12.2021,bundesanzeiger_local_data/falch_gmbh/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
SARTORIUS Werkzeuge GmbH & Co. KG,NA,NA,NA,NA,-,-,
ITW Befestigungssysteme GmbH,NA,NA,NA,NA,-,-,
Dr. Müller Diamantmetall AG,NA,NA,"494.901,05","572.440,05",01.01.2021,31.12.2021,bundesanzeiger_local_data/Dr._Mueller_Diamantmetall_AG/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Schwegler Werkzeugfabrik GmbH & Co. KG,"258.476,83","185.300,34","949.803,11","618.131,90",01.01.2021,31.12.2021,bundesanzeiger_local_data/Schwegler_Werkzeugfabrik_GmbH_and_Co._KG/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Starcke GmbH & Co. KG,"6.290.840,00",6.396,"13.282.841,56",14.192,01.01.2021,31.12.2021,bundesanzeiger_local_data/Starcke_GmbH_and_Co._KG/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Baudat GmbH & Co.KG.,NA,NA,"1.463.866,83","1.397.947,33",01.01.2021,31.12.2021,bundesanzeiger_local_data/Baudat_GmbH_and_Co.KG./Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Dinse GmbH,"0,00","5.041,17","760.990,00","691.621,00",01.09.2021,31.08.2022,bundesanzeiger_local_data/Dinse_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.09.2021_bis_zum_31.08.2022
TKR Spezialwerkzeuge GmbH,"735.260,00","1.248.301,00","2.227.070,00","6.256.548,39",01.01.2021,31.12.2021,bundesanzeiger_local_data/TKR_Spezialwerkzeuge_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Gebr. Lennartz GmbH & Co. KG,"696.065,08","889.051,60","2.747.529,16","3.022.743,16",01.01.2021,31.12.2021,bundesanzeiger_local_data/Gebr._Lennartz_GmbH_and_Co._KG/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Probst GmbH,NA,NA,"219.335,00","126.576,00",01.01.2021,31.12.2021,bundesanzeiger_local_data/Probst_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Johann Cuno König Stiftung & Co. KG,NA,NA,"291.415,00","254.593,00",01.01.2021,31.12.2021,bundesanzeiger_local_data/Johann_Cuno_Koenig_Stiftung_and_Co._KG/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Alfred Jäger GmbH,"452.801,00","604.216,00","2.846.980,58","2.945.456,58",01.01.2021,31.12.2021,bundesanzeiger_local_data/Alfred_Jaeger_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Schobertechnologies GmbH,"1.986.760,05","2.135.976,03","2.531.552,71","2.788.658,98",01.01.2021,31.12.2021,bundesanzeiger_local_data/Schobertechnologies_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Lehmann GmbH,NA,NA,"95.550,00","52.698,00",01.01.2021,31.12.2021,bundesanzeiger_local_data/Lehmann_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Blickle Werkzeuge GmbH & Co. KG,NA,NA,NA,NA,-,-,
Weitkowitz GmbH,"1.980.616,00","1.949.725,00","11.491.979,44","11.104.654,44",01.01.2021,31.12.2021,bundesanzeiger_local_data/Weitkowitz_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
LINCOLN ELECTRIC DEUTSCHLAND GmbH,"6.889.675,50","7.771.442,66","12.704.811,54","13.968.254,33",01.01.2021,31.12.2021,bundesanzeiger_local_data/LINCOLN_ELECTRIC_DEUTSCHLAND_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
WEZAG GmbH Werkzeugfabrik,"297.416,00","186.975,00","2.934.521,86","3.121.491,86",01.01.2021,31.12.2021,bundesanzeiger_local_data/WEZAG_GmbH_Werkzeugfabrik/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Dynajet GmbH,NA,NA,"1.997.614,80","2.069.231,80",01.01.2018,31.12.2018,bundesanzeiger_local_data/Dynajet_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2018_bis_zum_31.12.2018
Inovatools Eckerle & Ertel GmbH,"4.524.844,00","4.993.947,00","8.340.253,62","7.890.112,60",01.01.2021,31.12.2021,bundesanzeiger_local_data/Inovatools_Eckerle_and_Ertel_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
Britsch-Spannzeuge GmbH,NA,NA,"481.185,00","301.668,00",01.01.2021,31.12.2021,bundesanzeiger_local_data/Britsch-Spannzeuge_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
MOLDINO Tool Engineering Europe GmbH,NA,NA,"907.292,08","925.972,81",01.04.2021,31.03.2022,bundesanzeiger_local_data/MOLDINO_Tool_Engineering_Europe_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.04.2021_bis_zum_31.03.2022
Lavans Deutschland GmbH,NA,NA,"163.054,00","127.946,00",01.01.2021,31.12.2021,bundesanzeiger_local_data/Lavans_Deutschland_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
ESA Eppinger GmbH,"289.885,30","241.132,00","1.950.097,98",2.094,01.01.2021,31.12.2021,bundesanzeiger_local_data/ESA_Eppinger_GmbH/Jahresabschluss_zum_Geschaeftsjahr_vom_01.01.2021_bis_zum_31.12.2021
